Gene,M_carcass_FPKM,M_testis_FPKM,Testis2carcass
LOC4805701,6.746156927,1.971116836,0.292183767
LOC6897446,2.396320854,1.871094442,0.780819755
LOC4802080,3.057672871,7.685662052,2.513565336
LOC4812679,9.359742773,4.973043528,0.531322721
LOC4811738,7.49653658,2.599970645,0.346822999
LOC4815372,0,0,1
LOC4801388,12.27970429,0.11481063,0.009349706
LOC6901810,1.112089479,0.364333258,0.327612065
LOC6896711,14.59987891,12.20008569,0.835629249
LOC6897479,1.456656169,0.133609076,0.091723762
LOC4805615,2.307953051,0.075516401,0.032720496
LOC4811870,45.68839152,0.021666198,0.000474239
LOC4802146,6.584729559,0.020882921,0.003171568
LOC6896970,350.9950413,0.123774533,0.000352642
LOC4801993,363.0622653,236.7027266,0.651961797
LOC6898475,493.587341,9.023083218,0.018280623
LOC6898658,118.9356572,181.0508331,1.522258646
LOC26533720,0.141624728,428.5084817,3025.6401
LOC6903211,0.020857986,334.3059678,16026.95185
LOC4814924,725.8460431,259.791341,0.357915214
LOC26534122,0.847168369,1.326768533,1.566120756
LOC4812150,763.0907384,0.123397466,0.000161709
LOC26533459,0.152006356,0.304350717,2.002217035
LOC4817941,34.79108178,2.720311498,0.078189935
LOC4817813,48.99020996,3.013087298,0.061503885
LOC4818070,5625.148054,243.7961268,0.043340393
LOC6903503,0.536228568,0.62868314,1.172416029
LOC4804154,15.38526482,24.39933451,1.58588976
LOC4817187,0.586657705,0,1.70E-06
LOC4802680,3.7880534,10.98546018,2.900027302
LOC4802260,0.136847327,0.15122086,1.10503258
LOC4816707,0.535217176,0.698879054,1.305785352
LOC117183959,0.133562673,0.056774707,0.42508345
LOC4814592,6.560207709,3.685468431,0.561791491
LOC6898668,4.466155451,0.085016267,0.019035891
LOC6898669,66.73990943,0.626783223,0.009391445
LOC4805687,2.051894795,0.953962729,0.464918214
LOC4803297,148.4244378,23.15518225,0.156006541
LOC4814884,72.95589753,4.816679526,0.066021811
LOC4815382,13.21504331,0,7.57E-08
LOC4817298,9.11479466,1.022883736,0.112222454
LOC4812415,624.2035104,98.77869464,0.158247581
LOC4815376,30.32411741,0.039035912,0.001287322
LOC4813348,23.82877088,45.31312122,1.901613832
LOC6902998,11.00120319,284.5139568,25.86207408
LOC4812206,32.78145845,139.4887372,4.25511068
LOC4814030,1404.763358,54.38237133,0.038712835
LOC4814024,1.756231123,126.8461538,72.22630376
LOC6901160,87.48729847,32.44617603,0.370867283
LOC4804381,6.718487219,3.414382196,0.508207068
LOC4817658,1725.930582,0.017556225,1.02E-05
LOC4812725,1770.986221,0.017880285,1.01E-05
LOC4814683,0.011052424,0,9.05E-05
LOC6896754,15.56197426,8.059439547,0.51789316
LOC6896752,0.108095998,5.620225231,51.9924357
LOC117183186,1.30466062,5.844148923,4.479437298
LOC4817993,0,0.152096965,152097.965
LOC117184134,0.055544565,0.895403889,16.1201869
LOC4802576,0.278995363,42.39024814,151.9383575
LOC6897407,691.1098833,306.6057731,0.443642583
LOC4814688,15.26032345,7.142052318,0.468014513
LOC4816279,131.2706007,0.025122828,0.00019139
LOC4804689,4.637353969,0.601768218,0.129765615
LOC4803214,0.099173239,0.524541778,5.28910311
LOC4814543,9.402443833,1.915577505,0.203731959
LOC4802261,0.02231372,0.90117736,40.384928
LOC4814501,77.96107313,76.34985947,0.979333101
LOC6902035,1.525726402,0.352304362,0.230909769
LOC4817353,0.3215146,0.158251983,0.492209346
LOC4816374,0.040204119,47.0946806,1171.360347
LOC6903243,22.29841262,5.101791962,0.22879623
LOC4802218,22.95343895,0.85880035,0.03741493
LOC6900296,15.53956223,4.474662814,0.287952998
LOC4813012,0,0,1
LOC4815306,5.941081959,1.619943772,0.272668263
LOC4817695,0.068039463,0.179415182,2.636904198
LOC4817332,6.950835563,2.990922223,0.430296871
LOC26533386,43.34061315,21.88659281,0.504990394
LOC6901056,0.528910269,0.060039802,0.113517721
LOC4818100,29.89062179,67.88546706,2.271129261
LOC6898495,3.246706131,1.36914655,0.421703435
LOC6897644,29.75850006,3.34147279,0.112286361
LOC6897006,0.011899908,5.728665216,481.3637952
LOC6897401,12.52282878,4.796572248,0.383026307
LOC4817779,48.12106699,29.93311516,0.622037652
LOC4817103,8.130719962,0.060031252,0.007383386
LOC6898181,718.3391123,460.0547463,0.640442291
LOC6902849,7.985558138,57.63660128,7.217603838
LOC4815130,10.42289103,4.206138544,0.403548222
LOC6901386,22.84358682,22.55633781,0.987425399
LOC4816148,1.704047559,891.9696932,523.4414768
LOC4813007,935.7648185,168.2443608,0.179793425
LOC4817464,47.64936249,5.148139293,0.108042163
LOC4800307,0.132106087,135.451748,1025.317806
LOC6896734,124.145565,15.91633804,0.128207068
LOC6896733,1.326565735,0.450609767,0.339681944
LOC6896732,2.888508375,0.304090923,0.105276419
LOC6896731,13.71907967,0.77672,0.056616111
LOC4803100,10.16714812,2.407147103,0.236757431
LOC4817135,18.56517857,15.51475876,0.835691338
LOC4817213,1.415055625,1.085570399,0.767157568
LOC4805345,24.11457466,5.120763018,0.212351405
LOC4801339,10.76689325,0.085716811,0.007961238
LOC4817485,9.631441923,9.708423268,1.007992712
LOC4818147,224.1195004,392.183788,1.749886942
LOC4816079,20.98616257,6.677189025,0.318171066
LOC4818018,67.21871201,213.3480427,3.173938241
LOC4811773,55.03575346,23.06372771,0.419068094
LOC4818017,2.945521471,3.394250004,1.152342594
LOC6898305,16.52473724,2.019743417,0.122225501
LOC4814604,11.49148209,3.074539985,0.267549537
LOC6898164,2.747054202,0.304564793,0.110869921
LOC4817758,43.21872687,112.6120049,2.605629815
LOC4801877,11.84998384,10.63487571,0.897459098
LOC6901871,58.85970981,6.751199878,0.114699865
LOC4816193,0.492497311,0.078250088,0.158886003
LOC4803492,2.883787626,1.93780233,0.671964413
LOC4812718,0.465326763,0.169170747,0.363553952
LOC4812716,0.281664017,0.153489189,0.544938775
LOC4812719,0.182786823,0.16583354,0.907251572
LOC4812717,0.375481259,0,2.66E-06
LOC4815150,0.305584714,0.025273891,0.082709662
LOC4815092,0.522518035,0.094947265,0.181712548
LOC6902604,731.4026997,103.5502501,0.141577617
LOC4815353,4.545187593,2.062044258,0.453676501
LOC6901837,14.85377062,12.08035431,0.813285381
LOC6901166,14.22183438,5.258985996,0.369782581
LOC6902762,10.04498167,32.71269159,3.256620113
