Dpse_gene,Dmel_ortholog,C1_adult,C2_adult,C3_adult,S1_adult,S2_adutl,C1_larva,C2_larva,C3_larva,S1_larva,Foldchange_sum
LOC117183165,Vha16-4,0,0,-0.525834282,0,0,0,0,0,-0.589531359,-1.11536564
LOC117183167,CG15143,0,-0.541514964,-0.79875318,-0.893995125,-0.693491573,0,-0.689150406,-0.711365863,-0.671487817,-4.999758928
LOC117183168,ND-MNLL,0.658617039,0,0,0,0,0.571596761,0.537016926,0,0,1.767230727
LOC117183171,NA,0,0.964274154,1.38301337,1.248761339,0.597144512,0,0.995612986,1.556501195,0.969839592,7.715147148
LOC117183177,NA,0,0,0,0,0,-0.613110519,0,0,0,-0.613110519
LOC117183196,CG30271,0,0,0,-0.625514311,0,0,-0.536893465,0,0,-1.162407775
LOC117183199,NA,0,0,0,0,0,0,0.578630206,0,0,0.578630206
LOC117183208,NA,0,0,-0.566833637,-0.521011006,-0.554975808,0,0,-0.548837499,0,-2.19165795
LOC117183240,NA,0,0,0,0,-0.627302212,0,0,0,0,-0.627302212
LOC117183297,CG13838,0,0,0,0.517960358,1.040807307,0,0,0,0,1.558767665
LOC117183308,NA,0,0,-0.758194697,-0.721663495,0,0,0,-0.640486212,0,-2.120344403
LOC117183344,NA,0,0,-0.527862725,0,-0.540737296,0,0,-0.504862397,0,-1.573462419
LOC117183394,NA,0,0.565534859,0.865461992,0,0,0,0.682893824,0.83004428,0,2.943934955
LOC117183400,NA,0,0,0,0,0,0,0,-0.521571522,0,-0.521571522
LOC117183405,NA,0,0,0,0,0,0,0,-0.610842781,0,-0.610842781
LOC117183491,NA,0,0.97643046,1.559676292,1.42012271,0.717118669,0,1.171084127,1.804736306,1.142111537,8.791280101
LOC117183508,gammaSnap1,0,0,0,0,-0.630865261,0,0,0,0,-0.630865261
LOC117183534,CG30356,0,0.52122612,0,0,0,0,0.519997858,0.617966146,0,1.659190124
LOC117183542,CG42383,0,0,-0.532047796,0,-0.625803126,0,-0.525967505,-0.518125559,0,-2.201943986
LOC117183695,NA,0,0,0.660133445,0.730498993,0,0,0,0.692771177,0.650199509,2.733603124
LOC117183696,NA,0,0.770332733,0.700639235,0.786436783,0.506817563,0,0.971950092,0.705203404,0.570848713,5.012228523
LOC117183738,NA,0,1.108411452,1.155406138,1.352142761,1.937608088,0.708343288,1.591780353,1.275965793,0.84451149,9.974169363
LOC117183754,NA,0,-0.524169976,0,0,0,0,0,-0.5657697,0,-1.089939676
LOC117183758,NA,0,0,-0.512352453,-0.580851494,0,0,0,-0.542476228,-0.505697581,-2.141377756
LOC117183914,nmd,0,0,-0.617166671,-0.501366902,-0.721252552,0,0,0,0,-1.839786126
LOC117183915,lft,0.684127451,0,0,0,0,0,0,0,0,0.684127451
LOC117183927,CG5781,0,0,0,0,1.107896922,0,0,0,0,1.107896922
LOC117183940,NA,0,0.856683342,0.913450975,0.824636772,0,0,0.909041874,0.854802056,0.683757424,5.042372444
LOC117183975,NA,0,1.247906761,1.646752428,1.472327696,0.731311385,0,1.541997168,1.991635747,1.28826327,9.920194454
LOC117183977,NA,0,0,0,0,0.593736805,0,0,0,0,0.593736805
LOC117183982,Clbn,0.572480569,0,0,0,0,0,0,0,0,0.572480569
LOC117184004,NA,0,0,0,0,0,0,0,0.508302833,0,0.508302833
LOC117184019,NA,0,1.09279984,1.623020764,1.463552705,0.99395542,0,1.452393828,2.046010953,1.112654539,9.784388049
LOC117184022,NA,0,0,-0.576365068,-0.653099025,0,0,0,-0.757228734,-0.69042031,-2.677113137
LOC117184072,NA,0,0.572367874,1.186134614,0.752737496,0,0,0.597378292,1.153072214,0.804351251,5.066041741
LOC117184129,NA,0,-0.512192303,-0.678443583,0,0,0,0,-0.512820666,-1.095747383,-2.799203935
LOC117184149,NA,0,0,0,0,0,0,0,-0.583105964,0,-0.583105964
LOC117184152,CG43052,0.576373043,0.710156195,0.807153889,0,0,0.571094164,0.802230717,0.768128666,0,4.235136675
LOC117184160,NA,0,0,0,0.558023373,1.277262319,0,0,0,0,1.835285693
LOC117184205,CG42634,0,0,0,0,0.611475435,0,0,0,0,0.611475435
LOC117184243,CG17493,0,0,0,0,0,0,0,-0.561176076,0,-0.561176076
LOC117184264,robl37BC,0,0,0,0,-0.505101772,0,-0.614278947,0,0,-1.119380719
LOC117184270,NA,0,-0.744027628,-0.845462379,-0.960899688,-0.679950612,0,-0.757750284,-1.042444598,-0.791700263,-5.822235451
LOC117184278,CG12347,0,0,0.62351165,0.543272418,0,0,0,0.711356598,0,1.878140666
LOC117184369,CG32686,0,0,0,0,0.801734177,0,0,0,0,0.801734177
LOC117184426,NA,0,0,0,0,-0.518542672,0,0,0,0,-0.518542672
LOC117184485,NA,0,0,0,0,0.600489189,0,0,0,0,0.600489189
LOC117184498,NA,-0.658529533,0,0,0,0.751066454,0,0,0,0,0.092536921
LOC117184503,NA,0,0,0,0,0,0.505098165,0,0,0,0.505098165
LOC117184539,NA,0,0,0.827109639,0.531795092,0,0,0,0.888365983,0,2.247270715
LOC117184597,NA,0,0.534383464,0.559278493,0.521297672,0.701906208,0,0.50664408,0.585888621,0,3.409398536
LOC117184603,NA,0,0,0,0.792298105,1.417064238,0,0,0,0,2.209362343
LOC117184674,NA,0,0.524038269,0.55157085,0,0,0,0.608497601,0.642016391,0,2.32612311
LOC117184709,CG45428,0,0,-0.505287622,0,-0.622014505,0,0,0,0,-1.127302127
LOC117184711,NA,0,0,0,0,0,0,0.597447252,0,0,0.597447252
LOC117184766,NA,0,0,-0.548685961,-0.597773214,-0.839892212,0,0,-0.549450845,0,-2.535802233
LOC117184790,NA,0,0.509061051,0.563942502,0,0,0,0,0.720281619,0,1.793285172
LOC117184805,CG33947,0,0,0.516296763,0,0,0,0,0.551973698,0,1.068270461
LOC117184823,NA,0,1.196908169,1.23734873,1.120851037,1.16439219,0,0.925848764,1.034412052,0.764233207,7.443994149
LOC117184843,NA,0,0.730324406,0.791244782,0.80505487,0.508193037,0,0.790611792,0.992671953,0.643570318,5.261671157
LOC117184890,NA,0,0.557795116,0.814642385,0,0,0,0.771631751,1.077152264,0.688587942,3.909809458
LOC117184918,NA,0,1.118262239,1.1626739,1.083111272,0,0.755543148,1.436449944,1.311278652,0.966887051,7.834206206
LOC117184924,CG12729,0,0,-0.5258977,-0.559693912,-0.702385448,0,0,-0.510126135,0,-2.298103195
LOC117184960,NA,0,0,0.533095143,0.603208887,0,0,0.615913186,0.679568883,0,2.431786099
LOC117184962,NA,0,0,0,0,0.648519655,0,-0.593636285,-0.531320409,-0.503004917,-0.979441957
LOC117184973,NA,0.820634521,0,0,0,0,0.519824372,0,0,0,1.340458893
LOC117185128,NA,0,0,0,0,0,0,0,0.826834711,0,0.826834711
LOC117185667,NA,0,0,0,0,0,0,0,0.54553937,0,0.54553937
