Gene,Sample,IP2IN
LOC4805701,Hm_H4K20me3,1.07321
LOC4805701,Tm_H4K20me3,1.10597
LOC4805701,Tm_H3K9me2,0.869114
LOC4805701,Tm_H4K16AC,0.999205
LOC4805701,Hm_H3K9me2,1.06554
LOC4805701,Hm_H4K16AC,1.18502
LOC6897446,Tm_H4K16AC,0.894216
LOC6897446,Tm_H3K9me2,0.67642
LOC6897446,Tm_H4K20me3,1.2041
LOC6897446,Hm_H4K20me3,1.46537
LOC6897446,Hm_H4K16AC,0.941445
LOC6897446,Hm_H3K9me2,1.03885
LOC4802080,Tm_H4K20me3,1.20497
LOC4802080,Hm_H4K20me3,1.48363
LOC4802080,Hm_H4K16AC,1.81039
LOC4802080,Tm_H4K16AC,0.782451
LOC4802080,Tm_H3K9me2,0.786127
LOC4802080,Hm_H3K9me2,0.988777
LOC4812679,Hm_H3K9me2,0.818489
LOC4812679,Hm_H4K16AC,4.66042
LOC4812679,Tm_H4K16AC,2.91848
LOC4812679,Hm_H4K20me3,0.578896
LOC4812679,Tm_H4K20me3,0.923533
LOC4812679,Tm_H3K9me2,0.985349
LOC4811738,Tm_H3K9me2,0.726708
LOC4811738,Tm_H4K16AC,1.44666
LOC4811738,Hm_H4K16AC,0.613348
LOC4811738,Hm_H4K20me3,0.807803
LOC4811738,Hm_H3K9me2,0.822065
LOC4811738,Tm_H4K20me3,0.517357
LOC4815372,Hm_H3K9me2,1.76806
LOC4815372,Tm_H4K20me3,1.56185
LOC4815372,Tm_H4K16AC,0.916532
LOC4815372,Hm_H4K16AC,5.78246
LOC4815372,Tm_H3K9me2,1.39069
LOC4815372,Hm_H4K20me3,1.75688
LOC4801388,Hm_H4K20me3,0.821692
LOC4801388,Tm_H3K9me2,0.824516
LOC4801388,Hm_H3K9me2,0.896996
LOC4801388,Tm_H4K20me3,1.00721
LOC4801388,Hm_H4K16AC,0.882072
LOC4801388,Tm_H4K16AC,0.861779
LOC6901810,Tm_H3K9me2,1.25327
LOC6901810,Hm_H4K16AC,1.30534
LOC6901810,Tm_H4K20me3,1.26169
LOC6901810,Hm_H4K20me3,1.1079
LOC6901810,Tm_H4K16AC,1.68906
LOC6901810,Hm_H3K9me2,0.872602
LOC6896711,Hm_H4K20me3,0.942917
LOC6896711,Tm_H4K20me3,0.733838
LOC6896711,Tm_H4K16AC,1.42247
LOC6896711,Hm_H4K16AC,0.626534
LOC6896711,Tm_H3K9me2,0.690229
LOC6896711,Hm_H3K9me2,0.94402
LOC6897479,Tm_H4K16AC,0.904861
LOC6897479,Tm_H3K9me2,0.79153
LOC6897479,Hm_H4K16AC,0.646865
LOC6897479,Tm_H4K20me3,0.861255
LOC6897479,Hm_H4K20me3,0.902078
LOC6897479,Hm_H3K9me2,0.919913
LOC4805615,Hm_H4K16AC,1.31698
LOC4805615,Hm_H3K9me2,1.08351
LOC4805615,Tm_H4K16AC,0.853679
LOC4805615,Tm_H3K9me2,0.866122
LOC4805615,Tm_H4K20me3,1.73986
LOC4805615,Hm_H4K20me3,1.06956
LOC4811870,Hm_H4K20me3,0.681277
LOC4811870,Tm_H4K20me3,1.34672
LOC4811870,Tm_H3K9me2,1.3061
LOC4811870,Hm_H4K16AC,1.56484
LOC4811870,Tm_H4K16AC,1.60121
LOC4811870,Hm_H3K9me2,0.712849
LOC4802146,Hm_H4K20me3,0.979258
LOC4802146,Tm_H4K20me3,1.23018
LOC4802146,Tm_H4K16AC,0.921124
LOC4802146,Tm_H3K9me2,0.931034
LOC4802146,Hm_H4K16AC,0.910663
LOC4802146,Hm_H3K9me2,1.15635
LOC6896970,Tm_H4K20me3,1.6952
LOC6896970,Hm_H4K16AC,1.2602
LOC6896970,Hm_H4K20me3,1.01233
LOC6896970,Tm_H3K9me2,1.11614
LOC6896970,Hm_H3K9me2,1.13725
LOC6896970,Tm_H4K16AC,0.980101
LOC4801993,Hm_H3K9me2,1.28517
LOC4801993,Tm_H4K20me3,1.30409
LOC4801993,Hm_H4K20me3,1.30078
LOC4801993,Hm_H4K16AC,2.50782
LOC4801993,Tm_H3K9me2,0.874052
LOC4801993,Tm_H4K16AC,1.05746
LOC6898475,Tm_H4K20me3,1.44181
LOC6898475,Hm_H3K9me2,1.33789
LOC6898475,Tm_H4K16AC,0.82589
LOC6898475,Tm_H3K9me2,0.996625
LOC6898475,Hm_H4K20me3,1.79556
LOC6898475,Hm_H4K16AC,1.42231
LOC6898658,Hm_H4K16AC,0.630377
LOC6898658,Tm_H3K9me2,0.403923
LOC6898658,Tm_H4K20me3,0.472714
LOC6898658,Tm_H4K16AC,1.4478
LOC6898658,Hm_H4K20me3,0.925417
LOC6898658,Hm_H3K9me2,0.936676
LOC26533720,Hm_H3K9me2,1.46161
LOC26533720,Hm_H4K20me3,1.18242
LOC26533720,Tm_H4K20me3,1.75827
LOC26533720,Hm_H4K16AC,1.61626
LOC26533720,Tm_H4K16AC,1.16575
LOC26533720,Tm_H3K9me2,1.29941
LOC6903211,Tm_H4K20me3,1.84939
LOC6903211,Tm_H3K9me2,1.25334
LOC6903211,Hm_H4K20me3,1.05703
LOC6903211,Hm_H3K9me2,1.37441
LOC6903211,Hm_H4K16AC,3.34413
LOC6903211,Tm_H4K16AC,1.0345
LOC4814924,Hm_H4K20me3,0.402256
LOC4814924,Tm_H4K20me3,0.683568
LOC4814924,Tm_H3K9me2,0.924878
LOC4814924,Tm_H4K16AC,1.60362
LOC4814924,Hm_H3K9me2,0.659057
LOC4814924,Hm_H4K16AC,2.43161
LOC26534122,Hm_H4K20me3,0.490231
LOC26534122,Tm_H4K16AC,0.692892
LOC26534122,Hm_H3K9me2,6.81959
LOC26534122,Tm_H4K20me3,0.488136
LOC26534122,Tm_H3K9me2,5.79111
LOC26534122,Hm_H4K16AC,0.863445
LOC4812150,Hm_H4K20me3,1.17413
LOC4812150,Hm_H4K16AC,3.72196
LOC4812150,Tm_H4K20me3,1.69601
LOC4812150,Tm_H3K9me2,1.25221
LOC4812150,Tm_H4K16AC,1.92063
LOC4812150,Hm_H3K9me2,1.17271
LOC26533459,Tm_H4K16AC,1.659
LOC26533459,Tm_H3K9me2,1.08016
LOC26533459,Tm_H4K20me3,1.32124
LOC26533459,Hm_H4K20me3,1.06752
LOC26533459,Hm_H3K9me2,0.976444
LOC26533459,Hm_H4K16AC,1.96572
LOC4817941,Tm_H4K20me3,1.2556
LOC4817941,Hm_H4K20me3,1.16888
LOC4817941,Hm_H3K9me2,1.19513
LOC4817941,Tm_H3K9me2,0.927937
LOC4817941,Tm_H4K16AC,1.14412
LOC4817941,Hm_H4K16AC,1.30965
LOC4817813,Hm_H3K9me2,1.05953
LOC4817813,Tm_H3K9me2,1.03928
LOC4817813,Hm_H4K16AC,1.15756
LOC4817813,Hm_H4K20me3,1.12443
LOC4817813,Tm_H4K20me3,1.03333
LOC4817813,Tm_H4K16AC,1.11158
