muller,gene_id
A,XP_034654125.1
A,XP_034664081.1
A,XP_034660924.1
A,XP_034657654.1
A,XP_034669150.1
A,XP_034649864.1
A,XP_034649867.1
A,XP_034671653.1
A,XP_034671655.1
A,XP_034667860.1
A,XP_034667850.1
A,XP_034654194.1
A,XP_034654205.1
A,XP_034667516.1
A,XP_034667527.1
A,XP_034670093.1
A,XP_034649879.1
A,XP_034649882.1
A,XP_034649880.1
A,XP_034649884.1
A,XP_034657209.1
A,XP_034657087.1
A,XP_034656404.1
A,XP_034654240.1
A,XP_034669231.1
A,XP_034654274.1
A,XP_034663866.1
A,XP_034663997.1
A,XP_034663937.1
A,XP_034663776.1
A,XP_034664013.1
A,XP_034663926.1
A,XP_034664025.1
A,XP_034663721.1
A,XP_034663982.1
A,XP_034663839.1
A,XP_034663879.1
A,XP_034663698.1
A,XP_034663913.1
A,XP_034663892.1
A,XP_034664037.1
A,XP_034663709.1
A,XP_034663818.1
A,XP_034663649.1
A,XP_034663742.1
A,XP_034663754.1
A,XP_034663797.1
A,XP_034663852.1
A,XP_034663956.1
A,XP_034672035.1
A,XP_034653800.1
A,XP_034650640.1
A,XP_034671210.1
A,XP_034671211.1
A,XP_034671403.1
A,XP_034671405.1
A,XP_034671394.1
A,XP_034671406.1
A,XP_034671407.1
A,XP_034671404.1
A,XP_034657898.1
A,XP_034662314.1
A,XP_034667756.1
A,XP_034668971.1
A,XP_034654449.1
A,XP_034655327.1
A,XP_034655342.1
A,XP_034655357.1
A,XP_034657048.1
A,XP_034657036.1
A,XP_034671852.1
A,XP_034672190.1
A,XP_034671976.1
A,XP_034671178.1
A,XP_034657135.1
A,XP_034654479.1
A,XP_034649926.1
A,XP_034661863.1
A,XP_034660644.1
A,XP_034668520.1
A,XP_034658874.1
A,XP_034659000.1
A,XP_034656647.1
A,XP_034656660.1
A,XP_034656673.1
A,XP_034656635.1
A,XP_034664685.1
A,XP_034654491.1
A,XP_034669954.1
A,XP_034658359.1
A,XP_034654525.1
A,XP_034654561.1
A,XP_034654574.1
A,XP_034652489.1
A,XP_034654606.1
A,XP_034668394.1
A,XP_034654617.1
A,XP_034666893.1
A,XP_034667098.1
A,XP_034667110.1
A,XP_034667076.1
A,XP_034667127.1
A,XP_034654629.1
A,XP_034652028.1
A,XP_034661100.1
A,XP_034661077.1
A,XP_034661110.1
A,XP_034661089.1
A,XP_034649987.1
A,XP_034649988.1
A,XP_034651049.1
A,XP_034669139.1
A,XP_034653404.1
A,XP_034652310.1
A,XP_034656369.1
A,XP_034654309.1
A,XP_034654333.1
A,XP_034654985.1
A,XP_034654345.1
A,XP_034669296.1
A,XP_034654997.1
A,XP_034670800.1
A,XP_034659703.1
A,XP_034671259.1
A,XP_034671255.1
A,XP_034671260.1
A,XP_034671261.1
A,XP_034671253.1
A,XP_034660092.1
A,XP_034655033.1
A,XP_034655044.1
A,XP_034660331.1
A,XP_034660484.1
A,XP_034660301.1
A,XP_034660356.1
A,XP_034660261.1
A,XP_034660344.1
A,XP_034660316.1
A,XP_034660499.1
A,XP_034660275.1
A,XP_034660249.1
A,XP_034660448.1
A,XP_034660289.1
A,XP_034660460.1
A,XP_034660133.1
A,XP_034660226.1
A,XP_034660515.1
A,XP_034660213.1
A,XP_034660370.1
A,XP_034660198.1
A,XP_034660157.1
A,XP_034660070.1
A,XP_034660538.1
A,XP_034660473.1
A,XP_034655056.1
A,XP_034660527.1
A,XP_034660237.1
A,XP_034660146.1
A,XP_034672077.1
A,XP_034672075.1
A,XP_034672071.1
A,XP_034672073.1
A,XP_034653963.1
A,XP_034654075.1
A,XP_034653905.1
A,XP_034654063.1
A,XP_034671531.1
A,XP_034671525.1
A,XP_034671519.1
A,XP_034671533.1
A,XP_034671526.1
A,XP_034671534.1
A,XP_034671522.1
A,XP_034655080.1
A,XP_034671535.1
A,XP_034671524.1
A,XP_034671523.1
A,XP_034668070.1
A,XP_034670877.1
A,XP_034670881.1
A,XP_034670880.1
A,XP_034655081.1
A,XP_034670878.1
A,XP_034670879.1
A,XP_034655082.1
A,XP_034655083.1
A,XP_034655302.1
A,XP_034655390.1
A,XP_034655403.1
A,XP_034670795.1
A,XP_034662049.1
A,XP_034654587.1
A,XP_034650004.1
A,XP_034650057.1
A,XP_034655469.1
A,XP_034650011.1
A,XP_034655494.1
A,XP_034650045.1
A,XP_034655506.1
A,XP_034650024.1
A,XP_034650003.1
A,XP_034650034.1
A,XP_034650073.1
A,XP_034650005.1
A,XP_034652749.1
A,XP_034655532.1
A,XP_034655540.1
A,XP_034655607.1
A,XP_034662988.1
A,XP_034661317.1
A,XP_034658532.1
A,XP_034661123.1
A,XP_034657704.1
A,XP_034658215.1
A,XP_034664068.1
A,XP_034663561.1
A,XP_034657849.1
A,XP_034655646.1
A,XP_034655691.1
A,XP_034671172.1
A,XP_034655715.1
A,XP_034671175.1
A,XP_034671170.1
A,XP_034655977.1
A,XP_034671174.1
A,XP_034671176.1
A,XP_034671173.1
A,XP_034671177.1
A,XP_034671179.1
A,XP_034671181.1
A,XP_034671215.1
A,XP_034671279.1
A,XP_034671267.1
A,XP_034671237.1
A,XP_034660898.1
A,XP_034662114.1
A,XP_034659664.1
A,XP_034663343.1
A,XP_034664599.1
A,XP_034658405.1
A,XP_034649908.1
A,XP_034649917.1
A,XP_034649916.1
A,XP_034649914.1
A,XP_034649912.1
A,XP_034656027.1
A,XP_034656209.1
A,XP_034656006.1
A,XP_034658750.1
A,XP_034654209.1
A,XP_034656069.1
A,XP_034656082.1
A,XP_034654707.1
A,XP_034654582.1
A,XP_034654328.1
A,XP_034654461.1
A,XP_034657111.1
A,XP_034669923.1
A,XP_034671208.1
A,XP_034671205.1
A,XP_034671204.1
A,XP_034671207.1
A,XP_034656176.1
A,XP_034671202.1
A,XP_034656224.1
A,XP_034671200.1
A,XP_034671197.1
A,XP_034671206.1
A,XP_034656236.1
A,XP_034669053.1
A,XP_034668925.1
A,XP_034652470.1
A,XP_034664413.1
A,XP_034664387.1
A,XP_034664402.1
A,XP_034664375.1
A,XP_034672175.1
A,XP_034672176.1
A,XP_034672182.1
A,XP_034672180.1
A,XP_034672186.1
A,XP_034672178.1
A,XP_034672179.1
A,XP_034672183.1
A,XP_034650267.1
A,XP_034671846.1
A,XP_034650324.1
A,XP_034650290.1
A,XP_034650278.1
A,XP_034650309.1
A,XP_034656247.1
A,XP_034650342.1
A,XP_034650553.1
A,XP_034650600.1
A,XP_034650565.1
A,XP_034650424.1
A,XP_034650511.1
A,XP_034650439.1
A,XP_034650614.1
A,XP_034650542.1
A,XP_034656257.1
A,XP_034650588.1
A,XP_034656278.1
A,XP_034656288.1
A,XP_034656300.1
A,XP_034656314.1
A,XP_034656330.1
A,XP_034670884.1
A,XP_034656393.1
A,XP_034650767.1
A,XP_034656416.1
A,XP_034656610.1
A,XP_034670782.1
A,XP_034670789.1
A,XP_034656623.1
A,XP_034670771.1
A,XP_034670787.1
A,XP_034670790.1
A,XP_034670780.1
A,XP_034670781.1
A,XP_034670788.1
A,XP_034670792.1
A,XP_034670775.1
A,XP_034650828.1
A,XP_034657783.1
A,XP_034650105.1
A,XP_034671999.1
A,XP_034671367.1
A,XP_034656687.1
A,XP_034671369.1
A,XP_034671364.1
A,XP_034671366.1
A,XP_034671368.1
A,XP_034671354.1
A,XP_034671359.1
A,XP_034668874.1
A,XP_034668887.1
A,XP_034668899.1
A,XP_034649975.1
A,XP_034649983.1
A,XP_034649982.1
A,XP_034657443.1
A,XP_034657420.1
A,XP_034668826.1
A,XP_034668793.1
A,XP_034649891.1
A,XP_034649893.1
A,XP_034649887.1
A,XP_034649889.1
A,XP_034650246.1
A,XP_034671521.1
A,XP_034661925.1
A,XP_034670579.1
A,XP_034656695.1
A,XP_034662267.1
A,XP_034662278.1
A,XP_034662605.1
A,XP_034662694.1
A,XP_034662682.1
A,XP_034662663.1
A,XP_034662628.1
A,XP_034662617.1
A,XP_034662648.1
A,XP_034656709.1
A,XP_034662806.1
A,XP_034671929.1
A,XP_034671928.1
A,XP_034671927.1
A,XP_034671926.1
A,XP_034671925.1
A,XP_034671924.1
A,XP_034671923.1
A,XP_034654181.1
A,XP_034654152.1
A,XP_034671140.1
A,XP_034671143.1
A,XP_034671136.1
A,XP_034671141.1
A,XP_034671132.1
A,XP_034671145.1
A,XP_034671133.1
A,XP_034671137.1
A,XP_034671135.1
A,XP_034671144.1
A,XP_034670345.1
A,XP_034667801.1
A,XP_034667672.1
A,XP_034667758.1
A,XP_034667723.1
A,XP_034667744.1
A,XP_034667789.1
A,XP_034667697.1
A,XP_034667683.1
A,XP_034656926.1
A,XP_034667597.1
A,XP_034667734.1
A,XP_034667777.1
A,XP_034662116.1
A,XP_034656937.1
A,XP_034656995.1
A,XP_034662128.1
A,XP_034662101.1
A,XP_034671460.1
A,XP_034671449.1
A,XP_034671468.1
A,XP_034671467.1
A,XP_034671461.1
A,XP_034671469.1
A,XP_034657025.1
A,XP_034666016.1
A,XP_034666027.1
A,XP_034650853.1
A,XP_034650841.1
A,XP_034661592.1
A,XP_034661670.1
A,XP_034661647.1
A,XP_034661659.1
A,XP_034661605.1
A,XP_034661565.1
A,XP_034661404.1
A,XP_034657072.1
A,XP_034661552.1
A,XP_034661637.1
A,XP_034661617.1
A,XP_034661482.1
A,XP_034651786.1
A,XP_034651758.1
A,XP_034651856.1
A,XP_034651824.1
A,XP_034651769.1
A,XP_034651738.1
A,XP_034651836.1
A,XP_034651775.1
A,XP_034651813.1
A,XP_034651867.1
A,XP_034651801.1
A,XP_034671162.1
A,XP_034671161.1
A,XP_034671169.1
A,XP_034671160.1
A,XP_034671166.1
A,XP_034657100.1
A,XP_034671164.1
A,XP_034668124.1
A,XP_034668036.1
A,XP_034660955.1
A,XP_034657146.1
A,XP_034666709.1
A,XP_034666721.1
A,XP_034652283.1
A,XP_034661329.1
A,XP_034657380.1
A,XP_034670887.1
A,XP_034657350.1
A,XP_034657364.1
A,XP_034671946.1
A,XP_034671940.1
A,XP_034671943.1
A,XP_034671944.1
A,XP_034671945.1
A,XP_034671947.1
A,XP_034652038.1
A,XP_034652138.1
A,XP_034652158.1
A,XP_034652079.1
A,XP_034652059.1
A,XP_034652107.1
A,XP_034652119.1
A,XP_034652187.1
A,XP_034652201.1
A,XP_034671856.1
A,XP_034671865.1
A,XP_034671847.1
A,XP_034671849.1
A,XP_034667172.1
A,XP_034651925.1
A,XP_034657405.1
A,XP_034651940.1
A,XP_034666698.1
A,XP_034666676.1
A,XP_034667564.1
A,XP_034651016.1
A,XP_034651039.1
A,XP_034651027.1
A,XP_034650996.1
A,XP_034661891.1
A,XP_034661903.1
A,XP_034654503.1
A,XP_034670802.1
A,XP_034670803.1
A,XP_034657726.1
A,XP_034657455.1
A,XP_034664675.1
A,XP_034657172.1
A,XP_034670889.1
A,XP_034656380.1
A,XP_034668412.1
A,XP_034668424.1
A,XP_034666316.1
A,XP_034666401.1
A,XP_034657490.1
A,XP_034666425.1
A,XP_034666414.1
A,XP_034666305.1
A,XP_034666389.1
A,XP_034658276.1
A,XP_034672162.1
A,XP_034672149.1
A,XP_034672163.1
A,XP_034671182.1
A,XP_034671192.1
A,XP_034671194.1
A,XP_034671186.1
A,XP_034671189.1
A,XP_034671190.1
A,XP_034671188.1
A,XP_034671183.1
A,XP_034671193.1
A,XP_034671185.1
A,XP_034653366.1
A,XP_034655457.1
A,XP_034671766.1
A,XP_034671771.1
A,XP_034671764.1
A,XP_034671770.1
A,XP_034671763.1
A,XP_034671765.1
A,XP_034671761.1
A,XP_034671772.1
A,XP_034671769.1
A,XP_034650932.1
A,XP_034652999.1
A,XP_034653010.1
A,XP_034657556.1
A,XP_034657568.1
A,XP_034658863.1
A,XP_034670793.1
A,XP_034652268.1
A,XP_034667582.1
A,XP_034670105.1
A,XP_034655066.1
A,XP_034666596.1
A,XP_034657580.1
A,XP_034666583.1
A,XP_034657632.1
A,XP_034660551.1
A,XP_034670888.1
A,XP_034657642.1
A,XP_034650085.1
A,XP_034649885.1
A,XP_034649886.1
A,XP_034664578.1
A,XP_034661035.1
A,XP_034670843.1
A,XP_034655481.1
A,XP_034657691.1
A,XP_034670797.1
A,XP_034650704.1
A,XP_034657716.1
A,XP_034670412.1
A,XP_034670366.1
A,XP_034670467.1
A,XP_034670355.1
A,XP_034670347.1
A,XP_034670436.1
A,XP_034670489.1
A,XP_034670389.1
A,XP_034657738.1
A,XP_034660865.1
A,XP_034660904.1
A,XP_034660819.1
A,XP_034660888.1
A,XP_034657749.1
A,XP_034659620.1
A,XP_034651675.1
A,XP_034657761.1
A,XP_034672095.1
A,XP_034672098.1
A,XP_034672096.1
A,XP_034672097.1
A,XP_034672101.1
A,XP_034672102.1
A,XP_034672100.1
A,XP_034668782.1
A,XP_034653486.1
A,XP_034651962.1
A,XP_034671072.1
A,XP_034671106.1
A,XP_034667871.1
A,XP_034650140.1
A,XP_034649984.1
A,XP_034649986.1
A,XP_034657773.1
A,XP_034652865.1
A,XP_034672109.1
A,XP_034672105.1
A,XP_034672108.1
A,XP_034672107.1
A,XP_034669494.1
A,XP_034672292.1
A,XP_034672295.1
A,XP_034667812.1
A,XP_034649872.1
A,XP_034672300.1
A,XP_034672288.1
A,XP_034672256.1
A,XP_034672266.1
A,XP_034672310.1
A,XP_034672207.1
A,XP_034672177.1
A,XP_034650715.1
A,XP_034668116.1
A,XP_034664789.1
A,XP_034666490.1
A,XP_034668909.1
A,XP_034670342.1
A,XP_034670654.1
A,XP_034670230.1
A,XP_034666834.1
A,XP_034654538.1
A,XP_034654550.1
A,XP_034662558.1
A,XP_034662544.1
A,XP_034662572.1
A,XP_034657809.1
A,XP_034655238.1
A,XP_034657835.1
A,XP_034655226.1
A,XP_034657862.1
A,XP_034655249.1
A,XP_034657873.1
A,XP_034657910.1
A,XP_034655186.1
A,XP_034657947.1
A,XP_034655085.1
A,XP_034655162.1
A,XP_034655133.1
A,XP_034655199.1
A,XP_034655096.1
A,XP_034655212.1
A,XP_034657961.1
A,XP_034655669.1
A,XP_034668058.1
A,XP_034658037.1
A,XP_034671691.1
A,XP_034671681.1
A,XP_034671682.1
A,XP_034671667.1
A,XP_034671673.1
A,XP_034671689.1
A,XP_034671692.1
A,XP_034671693.1
A,XP_034671685.1
A,XP_034658064.1
A,XP_034671668.1
A,XP_034671680.1
A,XP_034671694.1
A,XP_034671696.1
A,XP_034671690.1
A,XP_034653448.1
A,XP_034671686.1
A,XP_034658078.1
A,XP_034668294.1
A,XP_034668253.1
A,XP_034668305.1
A,XP_034668264.1
A,XP_034668146.1
A,XP_034668172.1
A,XP_034668136.1
A,XP_034668242.1
A,XP_034668184.1
A,XP_034668221.1
A,XP_034669482.1
A,XP_034667923.1
A,XP_034658090.1
A,XP_034670332.1
A,XP_034653390.1
A,XP_034661340.1
A,XP_034658101.1
A,XP_034670767.1
A,XP_034655725.1
A,XP_034658324.1
A,XP_034658335.1
A,XP_034666807.1
A,XP_034659631.1
A,XP_034654113.1
A,XP_034661698.1
A,XP_034655414.1
A,XP_034671375.1
A,XP_034671373.1
A,XP_034671371.1
A,XP_034664530.1
A,XP_034655820.1
A,XP_034655955.1
A,XP_034655888.1
A,XP_034655830.1
A,XP_034655876.1
A,XP_034655900.1
A,XP_034655787.1
A,XP_034655806.1
A,XP_034655733.1
A,XP_034655850.1
A,XP_034655966.1
A,XP_034664626.1
A,XP_034664763.1
A,XP_034653384.1
A,XP_034653519.1
A,XP_034653171.1
A,XP_034651074.1
A,XP_034660968.1
A,XP_034660980.1
A,XP_034653843.1
A,XP_034650653.1
A,XP_034649925.1
A,XP_034649918.1
A,XP_034668986.1
A,XP_034669116.1
A,XP_034669073.1
A,XP_034668957.1
A,XP_034669040.1
A,XP_034669062.1
A,XP_034669099.1
A,XP_034669086.1
A,XP_034670655.1
A,XP_034670764.1
A,XP_034670791.1
A,XP_034670750.1
A,XP_034670723.1
A,XP_034670315.1
A,XP_034670778.1
A,XP_034670812.1
A,XP_034670694.1
A,XP_034670734.1
A,XP_034670477.1
A,XP_034670707.1
A,XP_034670616.1
A,XP_034670101.1
A,XP_034656213.1
A,XP_034668330.1
A,XP_034671931.1
A,XP_034671936.1
A,XP_034671939.1
A,XP_034671483.1
A,XP_034671484.1
A,XP_034667301.1
A,XP_034658113.1
A,XP_034651892.1
A,XP_034651094.1
A,XP_034666468.1
A,XP_034670766.1
A,XP_034659580.1
A,XP_034669938.1
A,XP_034671893.1
A,XP_034667084.1
A,XP_034667196.1
A,XP_034666524.1
A,XP_034665851.1
A,XP_034665987.1
A,XP_034667995.1
A,XP_034666405.1
A,XP_034666159.1
A,XP_034667757.1
A,XP_034667445.1
A,XP_034667319.1
A,XP_034667560.1
A,XP_034667875.1
A,XP_034666962.1
A,XP_034666279.1
A,XP_034657513.1
A,XP_034657501.1
A,XP_034670883.1
A,XP_034670918.1
A,XP_034672164.1
A,XP_034672167.1
A,XP_034672165.1
A,XP_034671123.1
A,XP_034671127.1
A,XP_034671121.1
A,XP_034671122.1
A,XP_034671125.1
A,XP_034671126.1
A,XP_034671117.1
A,XP_034660943.1
A,XP_034661795.1
A,XP_034649962.1
A,XP_034649964.1
A,XP_034649965.1
A,XP_034649963.1
A,XP_034649961.1
A,XP_034662028.1
A,XP_034662014.1
A,XP_034666501.1
A,XP_034657607.1
A,XP_034657619.1
A,XP_034661157.1
A,XP_034670225.1
A,XP_034670238.1
A,XP_034651130.1
A,XP_034669164.1
A,XP_034666550.1
A,XP_034666538.1
A,XP_034666525.1
A,XP_034663408.1
A,XP_034670998.1
A,XP_034670992.1
