muller,gene_id
E,Dwil_XP_015032924.1
E,Dwil_XP_023033027.1
E,Dwil_XP_023033984.1
E,Dwil_XP_023033988.1
E,Dwil_XP_023033997.1
E,Dwil_XP_023034000.1
E,Dwil_XP_023034001.1
E,Dwil_XP_023034005.1
E,Dwil_XP_023034007.1
E,Dwil_XP_023034014.1
E,Dwil_XP_023034018.1
E,Dwil_XP_023034022.1
E,Dwil_XP_023034027.1
E,Dwil_XP_023034037.1
E,Dwil_XP_023034048.1
E,Dwil_XP_023034049.1
E,Dwil_XP_023034050.1
E,Dwil_XP_023034115.1
E,Dwil_XP_023034175.1
E,Dwil_XP_023034184.1
E,Dwil_XP_023034204.1
E,Dwil_XP_023034207.1
E,Dwil_XP_023034215.1
E,Dwil_XP_023034226.1
E,Dwil_XP_023034227.1
E,Dwil_XP_023034297.1
E,Dwil_XP_023034308.1
E,Dwil_XP_023034314.1
E,Dwil_XP_023034329.1
E,Dwil_XP_023034335.1
E,Dwil_XP_023034343.1
E,Dwil_XP_023034347.1
E,Dwil_XP_023034351.1
E,Dwil_XP_023034358.1
E,Dwil_XP_023034364.1
E,Dwil_XP_023034392.1
E,Dwil_XP_023034398.1
E,Dwil_XP_023034401.1
E,Dwil_XP_023034403.1
E,Dwil_XP_023034414.1
E,Dwil_XP_023034419.1
E,Dwil_XP_023034482.1
E,Dwil_XP_023034491.1
E,Dwil_XP_023034506.1
E,Dwil_XP_023034536.1
E,Dwil_XP_023034537.1
E,Dwil_XP_023034539.1
E,Dwil_XP_023034550.1
E,Dwil_XP_023034551.1
E,Dwil_XP_023034553.1
E,Dwil_XP_023034566.1
E,Dwil_XP_023034586.1
E,Dwil_XP_023034617.1
E,Dwil_XP_023034618.1
E,Dwil_XP_023034619.1
E,Dwil_XP_023034630.1
E,Dwil_XP_023034642.1
E,Dwil_XP_023034646.1
E,Dwil_XP_023034655.1
E,Dwil_XP_023034661.1
E,Dwil_XP_023034662.1
E,Dwil_XP_023034664.1
E,Dwil_XP_023034669.1
E,Dwil_XP_023034670.1
E,Dwil_XP_023034674.1
E,Dwil_XP_023034676.1
E,Dwil_XP_023034678.1
E,Dwil_XP_023035485.1
E,Dwil_XP_023035508.1
E,Dwil_XP_023035511.1
E,Dwil_XP_023035512.1
E,Dwil_XP_023035515.1
E,Dwil_XP_023035516.1
E,Dwil_XP_023035518.1
E,Dwil_XP_023035531.1
E,Dwil_XP_023035534.1
E,Dwil_XP_023035546.1
E,Dwil_XP_023035547.1
E,Dwil_XP_023035548.1
E,Dwil_XP_023035551.1
E,Dwil_XP_023035563.1
E,Dwil_XP_023035568.1
E,Dwil_XP_023035572.1
E,Dwil_XP_023035582.1
E,Dwil_XP_023035589.1
E,Dwil_XP_023035650.1
E,Dwil_XP_023035651.1
E,Dwil_XP_023035652.1
E,Dwil_XP_023035653.1
E,Dwil_XP_023035655.1
E,Dwil_XP_023035659.1
E,Dwil_XP_023035662.1
E,Dwil_XP_023035664.1
E,Dwil_XP_023035725.1
E,Dwil_XP_023035762.1
E,Dwil_XP_023035764.1
E,Dwil_XP_023035786.1
E,Dwil_XP_023035869.1
E,Dwil_XP_023035878.1
E,Dwil_XP_023035880.1
E,Dwil_XP_023035901.1
E,Dwil_XP_023035911.1
E,Dwil_XP_023035930.1
E,Dwil_XP_023035948.1
E,Dwil_XP_023035960.1
E,Dwil_XP_023035972.1
E,Dwil_XP_023036016.1
E,Dwil_XP_023036065.1
E,Dwil_XP_023036084.1
E,Dwil_XP_023036094.1
E,Dwil_XP_023036099.1
E,Dwil_XP_023036112.1
E,Dwil_XP_023036120.1
E,Dwil_XP_023036127.1
E,Dwil_XP_023036133.1
E,Dwil_XP_023036139.1
E,Dwil_XP_023036141.1
E,Dwil_XP_023036146.1
E,Dwil_XP_023036151.1
E,Dwil_XP_023036166.1
E,Dwil_XP_023036170.1
E,Dwil_XP_023036181.1
E,Dwil_XP_023036183.1
E,Dwil_XP_023036186.1
E,Dwil_XP_023036189.1
E,Dwil_XP_023036192.1
E,Dwil_XP_023036208.1
E,Dwil_XP_023036216.1
E,Dwil_XP_023036220.1
E,Dwil_XP_023036223.1
E,Dwil_XP_023036230.1
E,Dwil_XP_023036232.1
E,Dwil_XP_023036245.1
E,Dwil_XP_023036253.1
E,Dwil_XP_023036270.1
E,Dwil_XP_023036271.1
E,Dwil_XP_023036273.1
E,Dwil_XP_023036281.1
E,Dwil_XP_023036284.1
E,Dwil_XP_023036286.1
E,Dwil_XP_023036288.1
E,Dwil_XP_023036289.1
E,Dwil_XP_023036290.1
E,Dwil_XP_023036324.1
E,Dwil_XP_023036337.1
E,Dwil_XP_023036352.1
E,Dwil_XP_023036357.1
E,Dwil_XP_023036360.1
E,Dwil_XP_023036400.1
E,Dwil_XP_023036406.1
E,Dwil_XP_023036413.1
E,Dwil_XP_023036432.1
E,Dwil_XP_023036434.1
E,Dwil_XP_023036437.1
E,Dwil_XP_023036442.1
E,Dwil_XP_023036449.1
E,Dwil_XP_023036450.1
E,Dwil_XP_023036451.1
E,Dwil_XP_023036461.1
E,Dwil_XP_023036462.1
E,Dwil_XP_023036518.1
E,Dwil_XP_023036522.1
