muller,gene_id
E,Dpse_LOC117183278
E,Dpse_LOC117185652
E,Dpse_LOC117185656
E,Dpse_LOC117185663
E,Dpse_LOC117185664
E,Dpse_LOC117183300
E,Dpse_LOC117183263
E,Dpse_LOC117183359
E,Dpse_LOC117183247
E,Dpse_LOC26532503
E,Dpse_LOC26533436
E,Dpse_LOC117183916
E,Dpse_LOC117183372
E,Dpse_LOC117183371
E,Dpse_LOC4800419
E,Dpse_LOC4800418
E,Dpse_LOC4800417
E,Dpse_LOC4800416
E,Dpse_LOC4800415
E,Dpse_LOC4800414
E,Dpse_LOC4800413
E,Dpse_LOC4800412
E,Dpse_LOC6896744
E,Dpse_LOC4800410
E,Dpse_LOC6896743
E,Dpse_LOC6896742
E,Dpse_LOC6896741
E,Dpse_LOC4800407
E,Dpse_LOC4800405
E,Dpse_LOC6896740
E,Dpse_LOC4800404
E,Dpse_LOC4800403
E,Dpse_LOC6896738
E,Dpse_LOC6896737
E,Dpse_LOC6896736
E,Dpse_LOC6896735
E,Dpse_LOC6896734
E,Dpse_LOC5495517
E,Dpse_LOC6896733
E,Dpse_LOC6896732
E,Dpse_LOC6896731
E,Dpse_LOC117183313
E,Dpse_LOC4800401
E,Dpse_LOC4800400
E,Dpse_Trnal-uag
E,Dpse_Trnal-uag-2
E,Dpse_LOC26533292
E,Dpse_LOC6896728
E,Dpse_LOC6896727
E,Dpse_LOC4800398
E,Dpse_LOC6896726
E,Dpse_LOC4800396
E,Dpse_LOC4800395
E,Dpse_LOC4800394
E,Dpse_LOC26533669
E,Dpse_LOC4800393
E,Dpse_LOC4800392
E,Dpse_LOC6896724
E,Dpse_LOC4800391
E,Dpse_LOC117183689
E,Dpse_LOC4800390
E,Dpse_LOC4800389
E,Dpse_LOC4800388
E,Dpse_LOC4800387
E,Dpse_LOC4800386
E,Dpse_LOC4800385
E,Dpse_LOC4800384
E,Dpse_LOC4800374
E,Dpse_LOC4800383
E,Dpse_LOC4800373
E,Dpse_LOC4800381
E,Dpse_LOC4800380
E,Dpse_LOC4800382
E,Dpse_LOC4800379
E,Dpse_LOC6896722
E,Dpse_LOC6896721
E,Dpse_LOC26533096
E,Dpse_LOC6903737
E,Dpse_LOC6903738
E,Dpse_LOC6903739
E,Dpse_LOC117183365
E,Dpse_LOC6896720
E,Dpse_LOC4800372
E,Dpse_LOC4800371
E,Dpse_LOC117183392
E,Dpse_LOC4800370
E,Dpse_LOC13036470
E,Dpse_LOC4800369
E,Dpse_LOC4800272
E,Dpse_LOC4800304
E,Dpse_LOC26532136
E,Dpse_LOC117185055
E,Dpse_LOC4800238
E,Dpse_LOC4800300
E,Dpse_LOC4800240
E,Dpse_LOC6896719
E,Dpse_LOC4800242
E,Dpse_LOC6896718
E,Dpse_LOC4800243
E,Dpse_LOC4800299
E,Dpse_LOC117183795
E,Dpse_LOC4800293
E,Dpse_LOC4800303
E,Dpse_LOC6896717
E,Dpse_LOC4800291
E,Dpse_LOC4800253
E,Dpse_LOC4800277
E,Dpse_LOC4800289
E,Dpse_LOC4800248
E,Dpse_LOC4800249
E,Dpse_LOC4800246
E,Dpse_LOC4800250
E,Dpse_LOC6896716
E,Dpse_LOC4800256
E,Dpse_LOC4800255
E,Dpse_LOC4800259
E,Dpse_LOC4800260
E,Dpse_LOC6896715
E,Dpse_LOC4800275
E,Dpse_LOC4800237
E,Dpse_LOC4800262
E,Dpse_LOC4800235
E,Dpse_LOC6896714
E,Dpse_LOC6896713
E,Dpse_LOC4800265
E,Dpse_LOC4800266
E,Dpse_LOC4800267
E,Dpse_LOC6896712
E,Dpse_LOC6896711
E,Dpse_LOC4800305
E,Dpse_LOC4800283
E,Dpse_LOC4800269
E,Dpse_LOC4800271
E,Dpse_LOC6896710
E,Dpse_LOC4800286
E,Dpse_LOC4800274
E,Dpse_LOC4800278
E,Dpse_LOC4800276
E,Dpse_LOC4800280
E,Dpse_LOC6896708
E,Dpse_LOC4800234
E,Dpse_LOC6896707
E,Dpse_LOC4800281
E,Dpse_LOC4800261
E,Dpse_LOC4800285
E,Dpse_LOC4800284
E,Dpse_LOC4800264
E,Dpse_LOC6896706
E,Dpse_LOC4800287
E,Dpse_LOC6896705
E,Dpse_LOC4800288
E,Dpse_LOC6896704
E,Dpse_LOC117184456
E,Dpse_LOC6896702
E,Dpse_LOC6896701
E,Dpse_LOC26533017
E,Dpse_LOC6896700
E,Dpse_LOC117183366
E,Dpse_LOC6896699
E,Dpse_LOC4800302
E,Dpse_LOC6896696
E,Dpse_LOC6896697
E,Dpse_LOC6896695
E,Dpse_LOC4800236
E,Dpse_LOC4800295
E,Dpse_LOC6896694
E,Dpse_LOC4800270
E,Dpse_LOC4800268
E,Dpse_LOC4800307
E,Dpse_LOC117183346
E,Dpse_LOC4800306
E,Dpse_LOC117183348
E,Dpse_LOC4800308
E,Dpse_LOC4800309
E,Dpse_LOC4800310
E,Dpse_LOC117183349
E,Dpse_LOC4800313
E,Dpse_LOC117183347
E,Dpse_LOC4800311
E,Dpse_LOC26532333
E,Dpse_LOC4800312
E,Dpse_LOC6896689
E,Dpse_LOC13036322
E,Dpse_LOC4800315
E,Dpse_LOC4800316
E,Dpse_LOC4800317
E,Dpse_LOC6896688
E,Dpse_LOC4800318
E,Dpse_LOC6896687
E,Dpse_LOC6896686
E,Dpse_LOC4800321
E,Dpse_LOC4800324
E,Dpse_LOC6896685
E,Dpse_LOC4800322
E,Dpse_LOC6896684
E,Dpse_LOC13036467
E,Dpse_LOC6896683
E,Dpse_LOC4800323
E,Dpse_LOC4800325
E,Dpse_LOC4800326
E,Dpse_LOC6896680
E,Dpse_LOC117185676
E,Dpse_LOC4800327
E,Dpse_LOC4800328
E,Dpse_LOC4800330
E,Dpse_LOC6896677
E,Dpse_LOC6896676
E,Dpse_LOC13036386
E,Dpse_LOC6896675
E,Dpse_LOC117185649
E,Dpse_LOC6896671
E,Dpse_LOC6896672
E,Dpse_LOC4800332
E,Dpse_LOC4800334
E,Dpse_LOC4800333
E,Dpse_LOC4800335
E,Dpse_LOC117183614
E,Dpse_LOC6896667
E,Dpse_LOC6896665
E,Dpse_LOC117185204
E,Dpse_LOC4800336
E,Dpse_LOC4800337
E,Dpse_LOC4800339
E,Dpse_LOC4800340
E,Dpse_LOC6896664
E,Dpse_LOC4800344
E,Dpse_LOC26533562
