muller,gene_id
E,Dmir_LOC117187382
E,Dmir_LOC117187140
E,Dmir_LOC117187317
E,Dmir_LOC117187077
E,Dmir_LOC117187320
E,Dmir_LOC117187136
E,Dmir_LOC117187188
E,Dmir_LOC117187189
E,Dmir_LOC117187322
E,Dmir_LOC117187364
E,Dmir_LOC108157270
E,Dmir_LOC117187594
E,Dmir_LOC117187592
E,Dmir_LOC117187593
E,Dmir_LOC108156300
E,Dmir_LOC108156301
E,Dmir_LOC108157757
E,Dmir_LOC108154430
E,Dmir_LOC108156584
E,Dmir_Trnac-gca-10
E,Dmir_LOC108154371
E,Dmir_LOC108154396
E,Dmir_LOC108154420
E,Dmir_LOC108153843
E,Dmir_LOC108154566
E,Dmir_LOC108157751
E,Dmir_LOC108157539
E,Dmir_LOC108154398
E,Dmir_LOC108156797
E,Dmir_LOC117187076
E,Dmir_LOC108156959
E,Dmir_LOC108153844
E,Dmir_LOC108156958
E,Dmir_LOC108156882
E,Dmir_LOC108156883
E,Dmir_LOC108154536
E,Dmir_LOC108154370
E,Dmir_LOC108157713
E,Dmir_LOC108157663
E,Dmir_LOC108157515
E,Dmir_LOC108153845
E,Dmir_LOC108154438
E,Dmir_LOC108154401
E,Dmir_LOC108154311
E,Dmir_LOC108154423
E,Dmir_LOC108156840
E,Dmir_LOC117187004
E,Dmir_LOC108156954
E,Dmir_LOC108156470
E,Dmir_LOC108156469
E,Dmir_LOC108154392
E,Dmir_LOC108154332
E,Dmir_LOC108155780
E,Dmir_LOC108155781
E,Dmir_LOC108156592
E,Dmir_LOC108156591
E,Dmir_LOC108156885
E,Dmir_LOC108156884
E,Dmir_LOC108156585
E,Dmir_LOC108156611
E,Dmir_LOC108156613
E,Dmir_LOC108156610
E,Dmir_Trnat-agu-5
E,Dmir_LOC117187345
E,Dmir_Trnaa-agc-11
E,Dmir_Trnav-cac-6
E,Dmir_Trnav-cac-5
E,Dmir_LOC108157813
E,Dmir_LOC108157783
E,Dmir_LOC108154360
E,Dmir_LOC108157739
E,Dmir_LOC108157080
E,Dmir_LOC108154611
E,Dmir_LOC108157111
E,Dmir_Trnav-cac-3
E,Dmir_Trnav-cac-4
E,Dmir_LOC108157110
E,Dmir_LOC108156213
E,Dmir_LOC108156211
E,Dmir_LOC108156214
E,Dmir_LOC108156212
E,Dmir_LOC108157465
E,Dmir_LOC108156210
E,Dmir_LOC108156206
E,Dmir_LOC108156209
E,Dmir_LOC108156207
E,Dmir_LOC117187007
E,Dmir_LOC108153847
E,Dmir_LOC108157324
E,Dmir_LOC108157771
E,Dmir_LOC108157773
E,Dmir_LOC108154982
E,Dmir_LOC108154978
E,Dmir_LOC108154984
E,Dmir_LOC108154980
E,Dmir_LOC108154983
E,Dmir_LOC108154981
E,Dmir_LOC108155311
E,Dmir_LOC108153848
E,Dmir_LOC117187387
E,Dmir_LOC108155319
E,Dmir_LOC108155315
E,Dmir_LOC108155310
E,Dmir_LOC108155313
E,Dmir_LOC108155314
E,Dmir_LOC108155316
E,Dmir_LOC108155317
E,Dmir_LOC108154329
E,Dmir_LOC108156309
E,Dmir_LOC108157519
E,Dmir_LOC108157518
E,Dmir_LOC108156595
E,Dmir_LOC108156593
E,Dmir_LOC108156594
E,Dmir_LOC108157748
E,Dmir_LOC108157747
E,Dmir_LOC108157102
E,Dmir_LOC108157675
E,Dmir_LOC108156995
E,Dmir_LOC108156994
E,Dmir_LOC108156996
E,Dmir_LOC108157000
E,Dmir_LOC108156189
E,Dmir_LOC108156186
E,Dmir_LOC108156188
E,Dmir_LOC108156187
E,Dmir_LOC108157349
E,Dmir_LOC108157344
E,Dmir_LOC108157346
E,Dmir_LOC108157348
E,Dmir_LOC108157347
E,Dmir_LOC108157509
E,Dmir_LOC108157508
E,Dmir_LOC108157812
E,Dmir_LOC108156919
E,Dmir_LOC108156920
E,Dmir_LOC108156231
E,Dmir_LOC108156232
E,Dmir_LOC108156257
E,Dmir_LOC108156256
E,Dmir_LOC108156258
E,Dmir_LOC108157484
E,Dmir_LOC108157483
E,Dmir_LOC108157337
E,Dmir_LOC108157336
E,Dmir_LOC117187274
E,Dmir_LOC117187275
E,Dmir_LOC117187273
E,Dmir_LOC117186915
E,Dmir_LOC117186914
E,Dmir_LOC117186913
E,Dmir_LOC108156957
E,Dmir_LOC108156956
E,Dmir_LOC108154963
E,Dmir_LOC117186912
E,Dmir_LOC117186918
E,Dmir_LOC117188628
E,Dmir_LOC108154966
E,Dmir_LOC108154965
E,Dmir_LOC108154968
E,Dmir_LOC108154967
E,Dmir_LOC108154964
E,Dmir_LOC117186917
E,Dmir_LOC108155794
E,Dmir_LOC108155795
E,Dmir_LOC108155411
E,Dmir_LOC108155410
E,Dmir_LOC108155407
E,Dmir_LOC108155405
E,Dmir_LOC108155409
E,Dmir_LOC108155408
E,Dmir_LOC108155413
E,Dmir_LOC108155412
E,Dmir_LOC108155450
E,Dmir_LOC108155453
E,Dmir_LOC108155452
E,Dmir_LOC108155455
E,Dmir_LOC108155456
E,Dmir_LOC108155451
E,Dmir_LOC108153851
E,Dmir_LOC108155836
E,Dmir_LOC108155834
E,Dmir_LOC108155835
E,Dmir_LOC108155839
E,Dmir_LOC108155837
E,Dmir_LOC108155838
E,Dmir_LOC108157600
E,Dmir_LOC108156472
E,Dmir_LOC108155617
E,Dmir_LOC108155614
E,Dmir_LOC108155616
E,Dmir_LOC108155613
E,Dmir_LOC108155615
E,Dmir_LOC108155612
E,Dmir_LOC117185911
E,Dmir_LOC117187165
E,Dmir_LOC117187162
E,Dmir_LOC117187172
E,Dmir_LOC117187170
E,Dmir_LOC117187159
E,Dmir_LOC117187431
E,Dmir_LOC117187167
E,Dmir_LOC117187166
E,Dmir_LOC117187169
E,Dmir_LOC117187161
E,Dmir_LOC117187168
E,Dmir_LOC117187163
E,Dmir_LOC108155797
E,Dmir_LOC117187429
E,Dmir_LOC117187171
E,Dmir_LOC108155800
E,Dmir_LOC108155798
E,Dmir_LOC108155799
E,Dmir_LOC108156979
E,Dmir_LOC108157558
E,Dmir_LOC108157557
E,Dmir_LOC108154348
E,Dmir_LOC108157195
E,Dmir_LOC108157267
E,Dmir_LOC108156617
E,Dmir_LOC108154949
E,Dmir_LOC108154951
E,Dmir_LOC108154950
E,Dmir_LOC108153852
E,Dmir_LOC108154948
E,Dmir_LOC108154952
E,Dmir_LOC108154208
E,Dmir_LOC108154225
E,Dmir_LOC108154210
E,Dmir_LOC108154222
E,Dmir_LOC108154217
E,Dmir_LOC108154224
E,Dmir_LOC108154219
E,Dmir_LOC108154209
E,Dmir_LOC108154211
E,Dmir_LOC108154221
E,Dmir_LOC108154220
E,Dmir_LOC108154212
E,Dmir_LOC117187603
E,Dmir_LOC117187602
E,Dmir_LOC117187595
E,Dmir_LOC108154214
E,Dmir_LOC108154218
E,Dmir_LOC108154215
E,Dmir_LOC108154213
E,Dmir_LOC117187250
E,Dmir_LOC117187251
E,Dmir_LOC108153853
E,Dmir_LOC108154216
E,Dmir_LOC108154223
E,Dmir_LOC108157003
E,Dmir_LOC108157098
E,Dmir_LOC108156776
E,Dmir_LOC108156775
E,Dmir_LOC108156777
E,Dmir_LOC108155938
E,Dmir_LOC108155941
E,Dmir_LOC108155935
E,Dmir_LOC108155939
E,Dmir_LOC108155937
E,Dmir_LOC108155934
E,Dmir_LOC108155936
E,Dmir_LOC108157417
E,Dmir_LOC108157770
E,Dmir_LOC108157690
E,Dmir_LOC108157552
E,Dmir_LOC108157677
E,Dmir_LOC108154347
E,Dmir_LOC108154390
E,Dmir_LOC108156572
E,Dmir_LOC108156576
E,Dmir_LOC108156575
E,Dmir_LOC108156578
E,Dmir_LOC108156577
E,Dmir_LOC108156574
E,Dmir_LOC108156044
E,Dmir_LOC108156043
E,Dmir_LOC108156045
E,Dmir_LOC108157059
E,Dmir_LOC108157060
E,Dmir_LOC108157253
E,Dmir_LOC108157252
E,Dmir_LOC108157687
E,Dmir_LOC108155608
E,Dmir_LOC108155610
E,Dmir_LOC108155611
E,Dmir_LOC108155606
E,Dmir_LOC108155607
E,Dmir_LOC108156072
E,Dmir_LOC108156071
E,Dmir_LOC108156074
E,Dmir_LOC108156073
E,Dmir_LOC108157481
E,Dmir_LOC108155320
E,Dmir_LOC108154816
E,Dmir_LOC108154811
E,Dmir_LOC108154814
E,Dmir_LOC108154806
E,Dmir_LOC108154812
E,Dmir_LOC108154808
E,Dmir_LOC108154815
E,Dmir_LOC108154810
E,Dmir_LOC108154813
E,Dmir_LOC108154809
E,Dmir_LOC108154818
E,Dmir_LOC108154819
E,Dmir_LOC108156385
E,Dmir_LOC108156384
E,Dmir_LOC108155150
E,Dmir_LOC108155155
E,Dmir_LOC108155156
E,Dmir_LOC108155151
E,Dmir_LOC108155153
E,Dmir_LOC108155154
E,Dmir_LOC108156762
E,Dmir_LOC108157781
E,Dmir_LOC108157779
E,Dmir_LOC108154391
E,Dmir_LOC108157202
E,Dmir_LOC108157200
E,Dmir_LOC117187216
E,Dmir_LOC108157199
E,Dmir_LOC108155945
E,Dmir_LOC108155944
E,Dmir_LOC108155946
E,Dmir_LOC108155949
E,Dmir_LOC108155950
E,Dmir_LOC108155948
E,Dmir_LOC108154336
