Dpse_gene,Dmel_gene,Type,Share_by_Dsub
LOC117183185,Snp,New duplicated gene,0
LOC117184524,Snp,New duplicated gene,0
LOC117184525,Snp,New duplicated gene,0
LOC117184526,Snp,New duplicated gene,0
LOC117184527,Snp,New duplicated gene,0
LOC117184528,Snp,New duplicated gene,0
LOC117184529,Snp,New duplicated gene,0
LOC117184948,Snp,New duplicated gene,0
LOC26532367,Snp,New duplicated gene,0
LOC26532852,Snp,New duplicated gene,0
LOC6898852,Snp,New duplicated parental gene,0
LOC6903741,Snp,New duplicated gene,0
LOC6903743,Snp,New duplicated gene,0
LOC4804072,CG15109,New duplicated parental gene,1
LOC6898572,CG15109,New duplicated gene,1
LOC6902091,CG15109,New duplicated gene,0
LOC4812761,polo,New duplicated parental gene,0
LOC6903594,polo,New duplicated gene,0
LOC117183288,mael,New duplicated gene,0
LOC117183289,mael,New duplicated gene,0
LOC117183290,mael,New duplicated gene,0
LOC6896659,mael,New duplicated gene,0
LOC6899889,mael,New duplicated gene,0
LOC6899927,mael,New duplicated parental gene,0
LOC4803671,salto,New duplicated parental gene,1
LOC6897016,salto,New duplicated gene,0
LOC6901565,salto,New duplicated gene,1
LOC6901820,salto,New duplicated gene,1
LOC4814476,CG2061,New duplicated parental gene,1
LOC6896871,CG2061,New duplicated gene,1
LOC6901312,CG2061,New duplicated gene,1
LOC6902833,CG2061,New duplicated gene,1
LOC6902925,CG2061,New duplicated gene,1
LOC4814952,CG3526,New duplicated gene,1
LOC6901265,CG3526,New duplicated gene,1
LOC6901276,CG3526,New duplicated parental gene,1
LOC4804174,CG11125,New duplicated parental gene,1
LOC6901105,CG11125,New duplicated gene,1
LOC6901110,CG11125,New duplicated gene,1
LOC4814132,CG7387,New duplicated parental gene,0
LOC6896757,CG7387,New duplicated gene,0
LOC4805000,CG8728,New duplicated parental gene,0
LOC6903472,CG8728,New duplicated gene,0
LOC6903474,CG8728,New duplicated gene,0
LOC117184398,Nup133,New duplicated gene,0
LOC117184399,Nup133,New duplicated gene,0
LOC6899001,Nup133,New duplicated parental gene,0
LOC6899993,Nup133,New duplicated gene,0
LOC117184366,baf,New duplicated gene,0
LOC6901615,baf,New duplicated gene,0
LOC6901616,baf,New duplicated gene,0
LOC6902453,baf,New duplicated gene,0
LOC6902920,baf,New duplicated parental gene,0
LOC4812397,Lon,New duplicated parental gene,1
LOC6896655,Lon,New duplicated gene,0
LOC6902226,Lon,New duplicated gene,1
LOC6900220,CG14613,New duplicated gene,1
LOC6900222,CG14613,New duplicated gene,1
LOC6901883,CG14613,New duplicated parental gene,1
LOC6898952,ERp60,New duplicated parental gene,0
LOC6902004,ERp60,New duplicated gene,0
LOC4812928,mu2,New duplicated parental gene,1
LOC6903021,mu2,New duplicated gene,1
LOC6900198,aust,New duplicated gene,0
