muller,gene_id
A,Dvir_XP_032295783.1
A,Dvir_XP_032296601.1
A,Dvir_XP_032296341.1
A,Dvir_XP_032289306.1
A,Dvir_XP_032289107.1
A,Dvir_XP_032296594.1
A,Dvir_XP_032289043.1
A,Dvir_XP_032289057.1
A,Dvir_XP_032289059.1
A,Dvir_XP_032289060.1
A,Dvir_XP_032289080.1
A,Dvir_XP_032289092.1
A,Dvir_XP_032289097.1
A,Dvir_XP_032289116.1
A,Dvir_XP_032289131.1
A,Dvir_XP_032289152.1
A,Dvir_XP_032289195.1
A,Dvir_XP_032289212.1
A,Dvir_XP_032289242.1
A,Dvir_XP_032289256.1
A,Dvir_XP_032289299.1
A,Dvir_XP_032289300.1
A,Dvir_XP_032289302.1
A,Dvir_XP_032289305.1
A,Dvir_XP_032289315.1
A,Dvir_XP_032289316.1
A,Dvir_XP_032289325.1
A,Dvir_XP_032289359.1
A,Dvir_XP_032289380.1
A,Dvir_XP_032289381.1
A,Dvir_XP_032295006.1
A,Dvir_XP_032295234.1
A,Dvir_XP_032295376.1
A,Dvir_XP_032295526.1
A,Dvir_XP_032295535.1
A,Dvir_XP_032295545.1
A,Dvir_XP_032295547.1
A,Dvir_XP_032295550.1
A,Dvir_XP_032295552.1
A,Dvir_XP_032295559.1
A,Dvir_XP_032295562.1
A,Dvir_XP_032295567.1
A,Dvir_XP_032295568.1
A,Dvir_XP_032295576.1
A,Dvir_XP_032295614.1
A,Dvir_XP_032295617.1
A,Dvir_XP_032295626.1
A,Dvir_XP_032295632.1
A,Dvir_XP_032295635.1
A,Dvir_XP_032295655.1
A,Dvir_XP_032295657.1
A,Dvir_XP_032295661.1
A,Dvir_XP_032295664.1
A,Dvir_XP_032295672.1
A,Dvir_XP_032295683.1
A,Dvir_XP_032295686.1
A,Dvir_XP_032295702.1
A,Dvir_XP_032295703.1
A,Dvir_XP_032295716.1
A,Dvir_XP_032295752.1
A,Dvir_XP_032295773.1
A,Dvir_XP_032295782.1
A,Dvir_XP_032295834.1
A,Dvir_XP_032295865.1
A,Dvir_XP_032295866.1
A,Dvir_XP_032295890.1
A,Dvir_XP_032295892.1
A,Dvir_XP_032295895.1
A,Dvir_XP_032295893.1
A,Dvir_XP_032295899.1
A,Dvir_XP_032295911.1
A,Dvir_XP_032295925.1
A,Dvir_XP_032295928.1
A,Dvir_XP_032295948.1
A,Dvir_XP_032295978.1
A,Dvir_XP_032295981.1
A,Dvir_XP_032295985.1
A,Dvir_XP_032296008.1
A,Dvir_XP_032296025.1
A,Dvir_XP_032296043.1
A,Dvir_XP_032296079.1
A,Dvir_XP_032296097.1
A,Dvir_XP_032296100.1
A,Dvir_XP_032296101.1
A,Dvir_XP_032296106.1
A,Dvir_XP_032296138.1
A,Dvir_XP_032296160.1
A,Dvir_XP_032296170.1
A,Dvir_XP_032296169.1
A,Dvir_XP_032296172.1
A,Dvir_XP_032296298.1
A,Dvir_XP_032296367.1
A,Dvir_XP_032296378.1
A,Dvir_XP_032296383.1
A,Dvir_XP_032296406.1
A,Dvir_XP_032296428.1
A,Dvir_XP_032296430.1
A,Dvir_XP_032296432.1
A,Dvir_XP_032296443.1
A,Dvir_XP_032296592.1
A,Dvir_XP_032296618.1
A,Dvir_XP_032296621.1
A,Dvir_XP_032296640.1
A,Dvir_XP_015024761.2
A,Dvir_XP_015024660.1
A,Dvir_XP_032295613.1
A,Dvir_XP_032295853.1
A,Dvir_XP_015027798.1
A,Dvir_XP_015023749.1
A,Dvir_XP_032288909.1
A,Dvir_XP_032295671.1
A,Dvir_XP_032296408.1
A,Dvir_XP_015026758.1
A,Dvir_XP_015027813.2
A,Dvir_XP_032289194.1
A,Dvir_XP_015025128.1
A,Dvir_XP_015026759.1
A,Dvir_XP_032289310.1
A,Dvir_XP_015024664.1
A,Dvir_XP_032295894.1
A,Dvir_XP_015027825.1
A,Dvir_XP_032295677.1
A,Dvir_XP_015026764.1
A,Dvir_XP_015025721.2
A,Dvir_XP_032295404.1
A,Dvir_XP_032289156.1
A,Dvir_XP_032289132.1
A,Dvir_XP_015023623.1
A,Dvir_XP_015026768.1
A,Dvir_XP_015026771.1
A,Dvir_XP_015026772.1
A,Dvir_XP_015026775.1
A,Dvir_XP_032289058.1
A,Dvir_XP_015025723.1
A,Dvir_XP_015023850.2
A,Dvir_XP_015024203.2
A,Dvir_XP_032289054.1
A,Dvir_XP_015026778.1
A,Dvir_XP_032288957.1
A,Dvir_XP_015025726.1
A,Dvir_XP_015026782.1
A,Dvir_XP_015026792.1
A,Dvir_XP_032296504.1
A,Dvir_XP_015026795.1
A,Dvir_XP_015024204.2
A,Dvir_XP_032289142.1
A,Dvir_XP_032295577.1
A,Dvir_XP_015026799.1
A,Dvir_XP_015024671.1
A,Dvir_XP_015026801.1
A,Dvir_XP_032296644.1
A,Dvir_XP_015025728.1
A,Dvir_XP_015026804.1
A,Dvir_XP_015023613.2
A,Dvir_XP_015025731.1
A,Dvir_XP_032295923.1
A,Dvir_XP_032289113.1
A,Dvir_XP_015025142.2
A,Dvir_XP_032295525.1
A,Dvir_XP_032289056.1
A,Dvir_XP_015025739.1
A,Dvir_XP_032296126.1
A,Dvir_XP_032295459.1
A,Dvir_XP_032289313.1
A,Dvir_XP_032296527.1
A,Dvir_XP_015025741.1
A,Dvir_XP_032289118.1
A,Dvir_XP_032295633.1
A,Dvir_XP_032295424.1
A,Dvir_XP_032295418.1
A,Dvir_XP_002054068.1
A,Dvir_XP_002054070.1
A,Dvir_XP_002054071.2
A,Dvir_XP_002054072.2
A,Dvir_XP_002054073.1
A,Dvir_XP_002054084.1
A,Dvir_XP_002054085.1
A,Dvir_XP_032295549.1
A,Dvir_XP_002054090.2
A,Dvir_XP_015027591.1
A,Dvir_XP_032295955.1
A,Dvir_XP_002054093.1
A,Dvir_XP_002054074.1
A,Dvir_XP_032295631.1
A,Dvir_XP_002054078.1
A,Dvir_XP_002054079.1
A,Dvir_XP_002054080.1
A,Dvir_XP_002054081.2
A,Dvir_XP_032295630.1
