Orthogroup	Dmel	Dmir	Dpse	Dsub	Dvir	Dwil
OG0000000	fest	Dmir_LOC108159200, Dmir_LOC117185894, Dmir_LOC117187905, Dmir_LOC117187906, Dmir_LOC117187907, Dmir_LOC117187923, Dmir_LOC117190006, Dmir_LOC117190007, Dmir_LOC117190382, Dmir_LOC117190777, Dmir_LOC117190790, Dmir_LOC117191033, Dmir_LOC117191034, Dmir_LOC117191057, Dmir_LOC117191058, Dmir_LOC117191059, Dmir_LOC117191393, Dmir_LOC117191466, Dmir_LOC117191469, Dmir_LOC117191470, Dmir_LOC117191471, Dmir_LOC117191822, Dmir_LOC117191823, Dmir_LOC117191824, Dmir_LOC117191825, Dmir_LOC117191827, Dmir_LOC117191828, Dmir_LOC117191829, Dmir_LOC117191830, Dmir_LOC117191831, Dmir_LOC117191832, Dmir_LOC117191833, Dmir_LOC117191851, Dmir_LOC117192028, Dmir_LOC117192088, Dmir_LOC117194316, Dmir_LOC117194332, Dmir_LOC117194339, Dmir_LOC117194341, Dmir_LOC117194342, Dmir_LOC117194343, Dmir_LOC117194344, Dmir_LOC117194345, Dmir_LOC117194346, Dmir_LOC117194347, Dmir_LOC117194358, Dmir_LOC117194359, Dmir_LOC117194360, Dmir_LOC117194361, Dmir_LOC117194362, Dmir_LOC117194371, Dmir_LOC117194372, Dmir_LOC117194373, Dmir_LOC117194374, Dmir_LOC117194375, Dmir_LOC117194387, Dmir_LOC117194388, Dmir_LOC117194389, Dmir_LOC117194392, Dmir_LOC117194393, Dmir_LOC117194394, Dmir_LOC117194444, Dmir_LOC117194445, Dmir_LOC117194468, Dmir_LOC117194469, Dmir_LOC117194470, Dmir_LOC117194471, Dmir_LOC117194472, Dmir_LOC117194579, Dmir_LOC117194616, Dmir_LOC117194617, Dmir_LOC117194618, Dmir_LOC117194619, Dmir_LOC117194641, Dmir_LOC117194642, Dmir_LOC117194651, Dmir_LOC117194652, Dmir_LOC117194653, Dmir_LOC117194666, Dmir_LOC117194667, Dmir_LOC117194685, Dmir_LOC117194691, Dmir_LOC117194696, Dmir_LOC117194746, Dmir_LOC117194748, Dmir_LOC117194759, Dmir_LOC117194766, Dmir_LOC117194778, Dmir_LOC117194779, Dmir_LOC117194780, Dmir_LOC117194781, Dmir_LOC117194782, Dmir_LOC117194783, Dmir_LOC117194784, Dmir_LOC117194804, Dmir_LOC117194805, Dmir_LOC117194808, Dmir_LOC117194809, Dmir_LOC117194810, Dmir_LOC117194811, Dmir_LOC117194812, Dmir_LOC117194813, Dmir_LOC117194814, Dmir_LOC117194815, Dmir_LOC117194856, Dmir_LOC117194896, Dmir_LOC117194897, Dmir_LOC117194898, Dmir_LOC117194899, Dmir_LOC117194900, Dmir_LOC117194901, Dmir_LOC117194905, Dmir_LOC117194906, Dmir_LOC117194907, Dmir_LOC117194908, Dmir_LOC117194910, Dmir_LOC117194913, Dmir_LOC117194917, Dmir_LOC117194918, Dmir_LOC117194919, Dmir_LOC117194920, Dmir_LOC117194921, Dmir_LOC117194924, Dmir_LOC117194925, Dmir_LOC117194928, Dmir_LOC117194930, Dmir_LOC117194936, Dmir_LOC117194937, Dmir_LOC117194938, Dmir_LOC117194939, Dmir_LOC117194940, Dmir_LOC117194942, Dmir_LOC117194943, Dmir_LOC117194945, Dmir_LOC117194949, Dmir_LOC117195097	Dpse_LOC4804253	XP_034651078.1	Dvir_XP_002050781.1, Dvir_XP_032292291.1	Dwil_XP_002061294.1
OG0000001	His4_CG31611, His4_CG33869, His4_CG33871, His4_CG33873, His4_CG33875, His4_CG33877, His4_CG33879, His4_CG33881, His4_CG33883, His4_CG33885, His4_CG33887, His4_CG33889, His4_CG33891, His4_CG33893, His4_CG33895, His4_CG33897, His4_CG33899, His4_CG33901, His4_CG33903, His4_CG33905, His4_CG33907, His4_CG33909, His4r	Dmir_LOC108156407, Dmir_LOC108156705, Dmir_LOC108156795, Dmir_LOC117187310, Dmir_LOC117187311, Dmir_LOC117187312, Dmir_LOC117187313, Dmir_LOC117187314, Dmir_LOC117187315, Dmir_LOC117187316	Dpse_LOC117183563, Dpse_LOC117183603, Dpse_LOC117183610, Dpse_LOC117185604, Dpse_LOC117185605, Dpse_LOC117185616, Dpse_LOC117185617, Dpse_LOC117185618, Dpse_LOC117185619, Dpse_LOC117185640, Dpse_LOC117185641, Dpse_LOC117185642, Dpse_LOC26532670, Dpse_LOC26532676, Dpse_LOC26532680, Dpse_LOC26532710, Dpse_LOC4801366	XP_034665355.1	Dvir_XP_002052266.1, Dvir_XP_002052274.1, Dvir_XP_002053091.1, Dvir_XP_002053095.1, Dvir_XP_002053105.1, Dvir_XP_002053109.1, Dvir_XP_002053113.1, Dvir_XP_002053121.1, Dvir_XP_002054263.1, Dvir_XP_002060409.1, Dvir_XP_002060450.1, Dvir_XP_002060476.1, Dvir_XP_002060485.1, Dvir_XP_002060526.1, Dvir_XP_002060533.1, Dvir_XP_015023611.2, Dvir_XP_015028395.1, Dvir_XP_032288857.1, Dvir_XP_032288858.1, Dvir_XP_032288859.1, Dvir_XP_032288860.1, Dvir_XP_032288861.1, Dvir_XP_032288863.1, Dvir_XP_032288864.1, Dvir_XP_032288865.1	Dwil_XP_002069209.1, Dwil_XP_002069214.1, Dwil_XP_002069353.1, Dwil_XP_002074075.1, Dwil_XP_002075826.1, Dwil_XP_002075884.1, Dwil_XP_002075935.1, Dwil_XP_002075989.1, Dwil_XP_015031865.2, Dwil_XP_023033109.1
OG0000002	His2B_CG17949, His2B_CG33868, His2B_CG33870, His2B_CG33872, His2B_CG33874, His2B_CG33876, His2B_CG33878, His2B_CG33880, His2B_CG33882, His2B_CG33884, His2B_CG33886, His2B_CG33888, His2B_CG33890, His2B_CG33892, His2B_CG33894, His2B_CG33896, His2B_CG33898, His2B_CG33900, His2B_CG33902, His2B_CG33904, His2B_CG33906, His2B_CG33908, His2B_CG33910	Dmir_LOC108156706, Dmir_LOC117187302, Dmir_LOC117187303, Dmir_LOC117187304, Dmir_LOC117187305, Dmir_LOC117187306, Dmir_LOC117187307, Dmir_LOC117187308, Dmir_LOC117187309	Dpse_LOC117183191, Dpse_LOC117183560, Dpse_LOC117183562, Dpse_LOC117183589, Dpse_LOC117185603, Dpse_LOC117185612, Dpse_LOC117185613, Dpse_LOC117185614, Dpse_LOC117185615, Dpse_LOC117185638, Dpse_LOC117185639, Dpse_LOC6897430, Dpse_LOC6903933, Dpse_LOC6903934, Dpse_LOC6903935, Dpse_LOC6903936, Dpse_LOC6903937	XP_034668076.1	Dvir_XP_002052268.1, Dvir_XP_002053093.1, Dvir_XP_002053103.1, Dvir_XP_002053111.1, Dvir_XP_002053115.1, Dvir_XP_002060428.1, Dvir_XP_002060474.1, Dvir_XP_002060498.1, Dvir_XP_002060544.1, Dvir_XP_015023595.2, Dvir_XP_032288840.1, Dvir_XP_032288841.1, Dvir_XP_032288842.1, Dvir_XP_032288843.1, Dvir_XP_032288845.1, Dvir_XP_032288846.1, Dvir_XP_032288847.1, Dvir_XP_032288848.1, Dvir_XP_032288849.1, Dvir_XP_032288850.1, Dvir_XP_032288852.1, Dvir_XP_032288853.1, Dvir_XP_032288854.1, Dvir_XP_032288855.1, Dvir_XP_032288873.1	Dwil_XP_002060632.1, Dwil_XP_002060811.1, Dwil_XP_002060842.1, Dwil_XP_002069212.1, Dwil_XP_002075764.1, Dwil_XP_002075948.1, Dwil_XP_002075988.1, Dwil_XP_015031873.1
OG0000003		Dmir_LOC108150757, Dmir_LOC108165456, Dmir_LOC117186107, Dmir_LOC117186109, Dmir_LOC117186119, Dmir_LOC117186209, Dmir_LOC117186210, Dmir_LOC117186339, Dmir_LOC117186340, Dmir_LOC117186341, Dmir_LOC117186342, Dmir_LOC117186343, Dmir_LOC117186507, Dmir_LOC117186558, Dmir_LOC117186591, Dmir_LOC117186674, Dmir_LOC117186675, Dmir_LOC117186677, Dmir_LOC117186925, Dmir_LOC117189280, Dmir_LOC117189288, Dmir_LOC117189910, Dmir_LOC117190690, Dmir_LOC117190691, Dmir_LOC117190692, Dmir_LOC117194319, Dmir_LOC117194331, Dmir_LOC117194349, Dmir_LOC117194350, Dmir_LOC117194351, Dmir_LOC117194365, Dmir_LOC117194378, Dmir_LOC117194379, Dmir_LOC117194477, Dmir_LOC117194478, Dmir_LOC117194479, Dmir_LOC117194513, Dmir_LOC117194516, Dmir_LOC117194521, Dmir_LOC117194524, Dmir_LOC117194530, Dmir_LOC117194531, Dmir_LOC117194532, Dmir_LOC117194534, Dmir_LOC117194535, Dmir_LOC117194536, Dmir_LOC117194541, Dmir_LOC117194556, Dmir_LOC117194559, Dmir_LOC117194560, Dmir_LOC117194561, Dmir_LOC117194671, Dmir_LOC117194674, Dmir_LOC117194676, Dmir_LOC117194677, Dmir_LOC117194682, Dmir_LOC117194705, Dmir_LOC117194712, Dmir_LOC117194718, Dmir_LOC117194719, Dmir_LOC117194742, Dmir_LOC117194743, Dmir_LOC117194751, Dmir_LOC117194752, Dmir_LOC117194754, Dmir_LOC117194875, Dmir_LOC117195113, Dmir_LOC117195114, Dmir_LOC117195116, Dmir_LOC117195117, Dmir_LOC117195125, Dmir_LOC117195126, Dmir_LOC117195174, Dmir_LOC117195175, Dmir_LOC117195178, Dmir_LOC117195193, Dmir_LOC117195194	Dpse_LOC6900951			
OG0000004	Cyp12a4, Cyp12a5	Dmir_LOC108153987, Dmir_LOC108156646, Dmir_LOC117190125, Dmir_LOC117190597, Dmir_LOC117190599, Dmir_LOC117190600, Dmir_LOC117190601, Dmir_LOC117190815, Dmir_LOC117191092, Dmir_LOC117191506, Dmir_LOC117191507, Dmir_LOC117191508, Dmir_LOC117191510, Dmir_LOC117191511, Dmir_LOC117191523, Dmir_LOC117194333, Dmir_LOC117194407, Dmir_LOC117194409, Dmir_LOC117194549, Dmir_LOC117194573, Dmir_LOC117194574, Dmir_LOC117194584, Dmir_LOC117194587, Dmir_LOC117194588, Dmir_LOC117194589, Dmir_LOC117194591, Dmir_LOC117194594, Dmir_LOC117194596, Dmir_LOC117194597, Dmir_LOC117194601, Dmir_LOC117194604, Dmir_LOC117194605, Dmir_LOC117194606, Dmir_LOC117194609, Dmir_LOC117194610, Dmir_LOC117194615, Dmir_LOC117194649, Dmir_LOC117194650, Dmir_LOC117194655, Dmir_LOC117194657, Dmir_LOC117194658, Dmir_LOC117194660, Dmir_LOC117194661, Dmir_LOC117194702, Dmir_LOC117194750, Dmir_LOC117194796, Dmir_LOC117194807, Dmir_LOC117194816, Dmir_LOC117194818, Dmir_LOC117194819, Dmir_LOC117194821, Dmir_LOC117194822, Dmir_LOC117194824, Dmir_LOC117194825, Dmir_LOC117194829, Dmir_LOC117194833, Dmir_LOC117194837, Dmir_LOC117194839, Dmir_LOC117194841, Dmir_LOC117194843, Dmir_LOC117194844, Dmir_LOC117194975, Dmir_LOC117195091, Dmir_LOC117195092, Dmir_LOC117195094, Dmir_LOC117195095, Dmir_LOC117195096, Dmir_LOC117195100	Dpse_LOC117183318, Dpse_LOC6896995, Dpse_LOC6896996	XP_034661846.1, XP_034661847.1, XP_034661848.1, XP_034661849.1		
OG0000005	CG33463, CG33483, CG33632, CG33648, CG33654, CG33658, CG33723, CG33764, CG33773, CG33777, CG33798, CG33912, CG33920, CG33922, CG33923	Dmir_LOC108153842, Dmir_LOC108154033, Dmir_LOC108154065, Dmir_LOC108154066, Dmir_LOC108154067, Dmir_LOC108156429, Dmir_LOC108158063, Dmir_LOC108158064, Dmir_LOC108159866, Dmir_LOC117185879, Dmir_LOC117187434, Dmir_LOC117187703, Dmir_LOC117193681, Dmir_LOC117193739	Dpse_LOC117183537, Dpse_LOC117183751, Dpse_LOC117183963, Dpse_LOC13036467, Dpse_LOC26532949, Dpse_LOC6896672, Dpse_LOC6896675, Dpse_LOC6896676, Dpse_LOC6896683, Dpse_LOC6896684, Dpse_LOC6898794, Dpse_LOC6898801	XP_034650557.1, XP_034654782.1, XP_034654860.1, XP_034655002.1, XP_034655010.1, XP_034662229.1, XP_034663894.1, XP_034663895.1, XP_034663915.1, XP_034665106.1, XP_034665108.1, XP_034665127.1, XP_034665128.1, XP_034665142.1, XP_034665150.1, XP_034665160.1, XP_034665252.1, XP_034665253.1, XP_034665255.1		Dwil_XP_002064480.3, Dwil_XP_015032151.1, Dwil_XP_015032962.1, Dwil_XP_015033015.1, Dwil_XP_015033018.1, Dwil_XP_015033686.1, Dwil_XP_015033888.2, Dwil_XP_023032267.1, Dwil_XP_023032268.1, Dwil_XP_023032271.1, Dwil_XP_023034018.1, Dwil_XP_023034046.1, Dwil_XP_023035526.1, Dwil_XP_023036518.1, Dwil_XP_023036519.1
OG0000006	His2A_CG31618, His2A_CG33808, His2A_CG33814, His2A_CG33817, His2A_CG33820, His2A_CG33823, His2A_CG33826, His2A_CG33829, His2A_CG33832, His2A_CG33835, His2A_CG33838, His2A_CG33841, His2A_CG33844, His2A_CG33847, His2A_CG33850, His2A_CG33853, His2A_CG33856, His2A_CG33859, His2A_CG33862, His2A_CG33865	Dmir_LOC108156704, Dmir_LOC108156794, Dmir_LOC117187297, Dmir_LOC117187298, Dmir_LOC117187299, Dmir_LOC117187300, Dmir_LOC117187301	Dpse_LOC117183556, Dpse_LOC117183581, Dpse_LOC117185601, Dpse_LOC117185602, Dpse_LOC117185611, Dpse_LOC117185637, Dpse_LOC26534208	XP_034668075.1, XP_034670104.1	Dvir_XP_002052267.1, Dvir_XP_002053090.1, Dvir_XP_002053094.1, Dvir_XP_002060454.1, Dvir_XP_002060475.1, Dvir_XP_002060487.1, Dvir_XP_002060495.1, Dvir_XP_002060557.1, Dvir_XP_015023598.1, Dvir_XP_015023601.1, Dvir_XP_015023643.1, Dvir_XP_032288822.1, Dvir_XP_032288823.1, Dvir_XP_032288824.1, Dvir_XP_032288825.1, Dvir_XP_032288826.1, Dvir_XP_032288827.1, Dvir_XP_032288828.1, Dvir_XP_032288830.1, Dvir_XP_032288831.1, Dvir_XP_032288832.1, Dvir_XP_032288833.1, Dvir_XP_032288834.1, Dvir_XP_032288836.1, Dvir_XP_032288837.1	Dwil_XP_002060631.2, Dwil_XP_002069208.1, Dwil_XP_002069213.1, Dwil_XP_002069354.1, Dwil_XP_002075765.1, Dwil_XP_002075883.1, Dwil_XP_002075922.1, Dwil_XP_002076015.2, Dwil_XP_015031842.1, Dwil_XP_015031854.1
OG0000007	His1_CG31617, His1_CG33801, His1_CG33804, His1_CG33807, His1_CG33810, His1_CG33813, His1_CG33816, His1_CG33819, His1_CG33822, His1_CG33825, His1_CG33828, His1_CG33831, His1_CG33834, His1_CG33837, His1_CG33840, His1_CG33843, His1_CG33846, His1_CG33849, His1_CG33852, His1_CG33855, His1_CG33858, His1_CG33861, His1_CG33864	Dmir_LOC108156703, Dmir_LOC117187287, Dmir_LOC117187288, Dmir_LOC117187289, Dmir_LOC117187290, Dmir_LOC117187291, Dmir_LOC117187292, Dmir_LOC117187293, Dmir_LOC117187294, Dmir_LOC117187295	Dpse_LOC117183568, Dpse_LOC117183574, Dpse_LOC117183621, Dpse_LOC117183919, Dpse_LOC117185600, Dpse_LOC117185606, Dpse_LOC117185607, Dpse_LOC117185608, Dpse_LOC117185630, Dpse_LOC117185631, Dpse_LOC117185633, Dpse_LOC117185634, Dpse_LOC26532116, Dpse_LOC26532398, Dpse_LOC26533245, Dpse_LOC26534267		Dvir_XP_002052264.1, Dvir_XP_002052269.1, Dvir_XP_002052272.1, Dvir_XP_002053097.1, Dvir_XP_002053102.1, Dvir_XP_002053114.1, Dvir_XP_002060406.2, Dvir_XP_015023755.2, Dvir_XP_015027811.1, Dvir_XP_032288808.1, Dvir_XP_032288819.1, Dvir_XP_032288820.1, Dvir_XP_032294196.1, Dvir_XP_032296768.1	Dwil_XP_002069206.3, Dwil_XP_002069211.1, Dwil_XP_002075790.1, Dwil_XP_002075981.1, Dwil_XP_015031817.1
OG0000008	Hsc70-1, Hsc70-2, Hsc70-3, Hsc70-4, Hsp68, Hsp70Aa, Hsp70Ab, Hsp70Ba, Hsp70Bb, Hsp70Bbb, Hsp70Bc	Dmir_LOC108151516, Dmir_LOC108152903, Dmir_LOC108154002, Dmir_LOC108154243, Dmir_LOC108154911, Dmir_LOC108156384, Dmir_LOC108157123, Dmir_LOC117187087, Dmir_LOC117187120, Dmir_LOC117187121	Dpse_LOC4800844, Dpse_LOC4801399, Dpse_LOC4801762, Dpse_LOC4803092, Dpse_LOC4815139, Dpse_LOC6896929, Dpse_LOC6897333, Dpse_LOC6897906, Dpse_LOC6900589	XP_034658799.1, XP_034660198.1, XP_034660775.1, XP_034661493.1, XP_034661494.1, XP_034662911.1, XP_034663028.1, XP_034663029.1, XP_034663901.1	Dvir_XP_002048525.1, Dvir_XP_002053707.1, Dvir_XP_002056192.1, Dvir_XP_002056654.2, Dvir_XP_002056660.1, Dvir_XP_002058649.1, Dvir_XP_002058650.1, Dvir_XP_002060490.3, Dvir_XP_002060548.2, Dvir_XP_015025597.1, Dvir_XP_032289502.1, Dvir_XP_032289629.1, Dvir_XP_032289630.1, Dvir_XP_032289631.1, Dvir_XP_032289775.1	Dwil_XP_002070761.1, Dwil_XP_002072686.1, Dwil_XP_002075480.1, Dwil_XP_015033765.1, Dwil_XP_023034288.1
OG0000009	CG30075, shu	Dmir_LOC108159431, Dmir_LOC108159434, Dmir_LOC117188216, Dmir_LOC117188244, Dmir_LOC117188248, Dmir_LOC117188249, Dmir_LOC117188250, Dmir_LOC117188251, Dmir_LOC117188252, Dmir_LOC117188253, Dmir_LOC117188255, Dmir_LOC117188256, Dmir_LOC117188259, Dmir_LOC117188260, Dmir_LOC117188261, Dmir_LOC117190227, Dmir_LOC117190228, Dmir_LOC117190230, Dmir_LOC117190232, Dmir_LOC117190235, Dmir_LOC117190237, Dmir_LOC117190238, Dmir_LOC117190240, Dmir_LOC117190241, Dmir_LOC117190242, Dmir_LOC117190243, Dmir_LOC117190244, Dmir_LOC117190245, Dmir_LOC117190246, Dmir_LOC117190247, Dmir_LOC117190249, Dmir_LOC117190250, Dmir_LOC117190251, Dmir_LOC117190252, Dmir_LOC117190253, Dmir_LOC117190254, Dmir_LOC117190255, Dmir_LOC117190256, Dmir_LOC117190258, Dmir_LOC117190260, Dmir_LOC117190261, Dmir_LOC117190262, Dmir_LOC117190265, Dmir_LOC117190271, Dmir_LOC117190275, Dmir_LOC117190276, Dmir_LOC117190277, Dmir_LOC117190293, Dmir_LOC117190296, Dmir_LOC117190302, Dmir_LOC117190303, Dmir_LOC117191690, Dmir_LOC117191692	Dpse_LOC4803393	XP_034652753.1	Dvir_XP_032293079.1	Dwil_XP_002063679.1
